Time,Port,Metric,Value
2026-05-06 11:37:45.000,0,imissed,0
2026-05-06 11:37:45.000,0,ierrors,0
2026-05-06 11:37:45.000,0,obytes,0
2026-05-06 11:37:45.000,0,oerrors,0
2026-05-06 11:37:45.000,0,ibytes,1143
2026-05-06 11:37:45.000,0,opackets,0
2026-05-06 11:37:45.000,0,ipackets,4
2026-05-06 11:37:45.000,0,rx_nombuf,0
2026-05-06 11:37:46.000,0,imissed,0
2026-05-06 11:37:46.000,0,ierrors,0
2026-05-06 11:37:46.000,0,obytes,2084458544
2026-05-06 11:37:46.000,0,oerrors,94
2026-05-06 11:37:46.000,0,ibytes,1143
2026-05-06 11:37:46.000,0,opackets,34741012
2026-05-06 11:37:46.000,0,ipackets,4
2026-05-06 11:37:46.000,0,rx_nombuf,0
2026-05-06 11:37:47.000,0,imissed,0
2026-05-06 11:37:47.000,0,ierrors,0
2026-05-06 11:37:47.000,0,obytes,4316650540
2026-05-06 11:37:47.000,0,oerrors,194
2026-05-06 11:37:47.000,0,ibytes,1143
2026-05-06 11:37:47.000,0,opackets,71944213
2026-05-06 11:37:47.000,0,ipackets,4
2026-05-06 11:37:47.000,0,rx_nombuf,0
2026-05-06 11:37:48.000,0,imissed,0
2026-05-06 11:37:48.000,0,ierrors,0
2026-05-06 11:37:48.000,0,obytes,6548843256
2026-05-06 11:37:48.000,0,oerrors,294
2026-05-06 11:37:48.000,0,ibytes,1143
2026-05-06 11:37:48.000,0,opackets,109147426
2026-05-06 11:37:48.000,0,ipackets,4
2026-05-06 11:37:48.000,0,rx_nombuf,0
2026-05-06 11:37:49.000,0,imissed,0
2026-05-06 11:37:49.000,0,ierrors,0
2026-05-06 11:37:49.000,0,obytes,8781035796
2026-05-06 11:37:49.000,0,oerrors,394
2026-05-06 11:37:49.000,0,ibytes,1143
2026-05-06 11:37:49.000,0,opackets,146350635
2026-05-06 11:37:49.000,0,ipackets,4
2026-05-06 11:37:49.000,0,rx_nombuf,0
2026-05-06 11:37:50.000,0,imissed,0
2026-05-06 11:37:50.000,0,ierrors,0
2026-05-06 11:37:50.000,0,obytes,11013228044
2026-05-06 11:37:50.000,0,oerrors,494
2026-05-06 11:37:50.000,0,ibytes,1143
2026-05-06 11:37:50.000,0,opackets,183553837
2026-05-06 11:37:50.000,0,ipackets,4
2026-05-06 11:37:50.000,0,rx_nombuf,0
2026-05-06 11:37:51.000,0,imissed,0
2026-05-06 11:37:51.000,0,ierrors,0
2026-05-06 11:37:51.000,0,obytes,13245419928
2026-05-06 11:37:51.000,0,oerrors,594
2026-05-06 11:37:51.000,0,ibytes,1143
2026-05-06 11:37:51.000,0,opackets,220757034
2026-05-06 11:37:51.000,0,ipackets,4
2026-05-06 11:37:51.000,0,rx_nombuf,0
2026-05-06 11:37:52.000,0,imissed,0
2026-05-06 11:37:52.000,0,ierrors,0
2026-05-06 11:37:52.000,0,obytes,15477612100
2026-05-06 11:37:52.000,0,oerrors,694
2026-05-06 11:37:52.000,0,ibytes,1143
2026-05-06 11:37:52.000,0,opackets,257960239
2026-05-06 11:37:52.000,0,ipackets,4
2026-05-06 11:37:52.000,0,rx_nombuf,0
2026-05-06 11:37:53.000,0,imissed,0
2026-05-06 11:37:53.000,0,ierrors,0
2026-05-06 11:37:53.000,0,obytes,17709804396
2026-05-06 11:37:53.000,0,oerrors,794
2026-05-06 11:37:53.000,0,ibytes,1143
2026-05-06 11:37:53.000,0,opackets,295163445
2026-05-06 11:37:53.000,0,ipackets,4
2026-05-06 11:37:53.000,0,rx_nombuf,0
2026-05-06 11:37:54.000,0,imissed,0
2026-05-06 11:37:54.000,0,ierrors,0
2026-05-06 11:37:54.000,0,obytes,19941997304
2026-05-06 11:37:54.000,0,oerrors,894
2026-05-06 11:37:54.000,0,ibytes,1476
2026-05-06 11:37:54.000,0,opackets,332366658
2026-05-06 11:37:54.000,0,ipackets,5
2026-05-06 11:37:54.000,0,rx_nombuf,0
2026-05-06 11:37:55.000,0,imissed,0
2026-05-06 11:37:55.000,0,ierrors,0
2026-05-06 11:37:55.000,0,obytes,22174189300
2026-05-06 11:37:55.000,0,oerrors,994
2026-05-06 11:37:55.000,0,ibytes,1476
2026-05-06 11:37:55.000,0,opackets,369569859
2026-05-06 11:37:55.000,0,ipackets,5
2026-05-06 11:37:55.000,0,rx_nombuf,0
2026-05-06 11:37:56.000,0,imissed,0
2026-05-06 11:37:56.000,0,ierrors,0
2026-05-06 11:37:56.000,0,obytes,24406380884
