Time,Port,Metric,Value
2026-05-05 16:36:37.000,0,obytes,0
2026-05-05 16:36:37.000,0,imissed,0
2026-05-05 16:36:37.000,0,ierrors,0
2026-05-05 16:36:37.000,0,rx_nombuf,0
2026-05-05 16:36:37.000,0,oerrors,0
2026-05-05 16:36:37.000,0,opackets,0
2026-05-05 16:36:37.000,0,ibytes,1170
2026-05-05 16:36:37.000,0,ipackets,9
2026-05-05 16:36:38.000,0,obytes,0
2026-05-05 16:36:38.000,0,imissed,0
2026-05-05 16:36:38.000,0,ierrors,0
2026-05-05 16:36:38.000,0,rx_nombuf,0
2026-05-05 16:36:38.000,0,oerrors,0
2026-05-05 16:36:38.000,0,opackets,0
2026-05-05 16:36:38.000,0,ibytes,239472010
2026-05-05 16:36:38.000,0,ipackets,3991195
2026-05-05 16:36:39.000,0,obytes,0
2026-05-05 16:36:39.000,0,imissed,0
2026-05-05 16:36:39.000,0,ierrors,0
2026-05-05 16:36:39.000,0,rx_nombuf,0
2026-05-05 16:36:39.000,0,oerrors,0
2026-05-05 16:36:39.000,0,opackets,0
2026-05-05 16:36:39.000,0,ibytes,528840018
2026-05-05 16:36:39.000,0,ipackets,8813993
2026-05-05 16:36:40.000,0,obytes,0
2026-05-05 16:36:40.000,0,imissed,0
2026-05-05 16:36:40.000,0,ierrors,0
2026-05-05 16:36:40.000,0,rx_nombuf,0
2026-05-05 16:36:40.000,0,oerrors,0
2026-05-05 16:36:40.000,0,opackets,0
2026-05-05 16:36:40.000,0,ibytes,818607134
2026-05-05 16:36:40.000,0,ipackets,13643446
2026-05-05 16:36:41.000,0,obytes,0
2026-05-05 16:36:41.000,0,imissed,0
2026-05-05 16:36:41.000,0,ierrors,0
2026-05-05 16:36:41.000,0,rx_nombuf,0
2026-05-05 16:36:41.000,0,oerrors,0
2026-05-05 16:36:41.000,0,opackets,0
2026-05-05 16:36:41.000,0,ibytes,1099960102
2026-05-05 16:36:41.000,0,ipackets,18332660
2026-05-05 16:36:42.000,0,obytes,0
2026-05-05 16:36:42.000,0,imissed,0
2026-05-05 16:36:42.000,0,ierrors,0
2026-05-05 16:36:42.000,0,rx_nombuf,0
2026-05-05 16:36:42.000,0,oerrors,0
2026-05-05 16:36:42.000,0,opackets,0
2026-05-05 16:36:42.000,0,ibytes,1389309374
2026-05-05 16:36:42.000,0,ipackets,23155150
2026-05-05 16:36:43.000,0,obytes,0
2026-05-05 16:36:43.000,0,imissed,0
2026-05-05 16:36:43.000,0,ierrors,0
2026-05-05 16:36:43.000,0,rx_nombuf,0
2026-05-05 16:36:43.000,0,oerrors,0
2026-05-05 16:36:43.000,0,opackets,0
2026-05-05 16:36:43.000,0,ibytes,1677892326
2026-05-05 16:36:43.000,0,ipackets,27964868
2026-05-05 16:36:44.000,0,obytes,0
2026-05-05 16:36:44.000,0,imissed,0
2026-05-05 16:36:44.000,0,ierrors,0
2026-05-05 16:36:44.000,0,rx_nombuf,0
2026-05-05 16:36:44.000,0,oerrors,0
2026-05-05 16:36:44.000,0,opackets,0
2026-05-05 16:36:44.000,0,ibytes,1964531650
2026-05-05 16:36:44.000,0,ipackets,32742189
2026-05-05 16:36:45.000,0,obytes,0
2026-05-05 16:36:45.000,0,imissed,0
2026-05-05 16:36:45.000,0,ierrors,0
2026-05-05 16:36:45.000,0,rx_nombuf,0
2026-05-05 16:36:45.000,0,oerrors,0
2026-05-05 16:36:45.000,0,opackets,0
2026-05-05 16:36:45.000,0,ibytes,2249977442
2026-05-05 16:36:45.000,0,ipackets,37499621
2026-05-05 16:36:46.000,0,obytes,0
2026-05-05 16:36:46.000,0,imissed,0
2026-05-05 16:36:46.000,0,ierrors,0
2026-05-05 16:36:46.000,0,rx_nombuf,0
2026-05-05 16:36:46.000,0,oerrors,0
2026-05-05 16:36:46.000,0,opackets,0
2026-05-05 16:36:46.000,0,ibytes,2532668826
2026-05-05 16:36:46.000,0,ipackets,42211143
2026-05-05 16:36:47.000,0,obytes,0
2026-05-05 16:36:47.000,0,imissed,0
2026-05-05 16:36:47.000,0,ierrors,0
2026-05-05 16:36:47.000,0,rx_nombuf,0
2026-05-05 16:36:47.000,0,oerrors,0
2026-05-05 16:36:47.000,0,opackets,0
2026-05-05 16:36:47.000,0,ibytes,2716537402
2026-05-05 16:36:47.000,0,ipackets,45275615
2026-05-05 16:36:48.000,0,obytes,0
2026-05-05 16:36:48.000,0,imissed,0
2026-05-05 16:36:48.000,0,ierrors,0
2026-05-05 16:36:48.000,0,rx_nombuf,0
2026-05-05 16:36:48.000,0,oerrors,0
2026-05-05 16:36:48.000,0,opackets,0
2026-05-05 16:36:48.000,0,ibytes,2950347654
2026-05-05 16:36:48.000,0,ipackets,49172460
2026-05-05 16:36:49.000,0,obytes,0
2026-05-05 16:36:49.000,0,imissed,0
2026-05-05 16:36:49.000,0,ierrors,0
2026-05-05 16:36:49.000,0,rx_nombuf,0
2026-05-05 16:36:49.000,0,oerrors,0
2026-05-05 16:36:49.000,0,opackets,0
2026-05-05 16:36:49.000,0,ibytes,3240353654
2026-05-05 16:36:49.000,0,ipackets,54005888
2026-05-05 16:36:50.000,0,obytes,0
2026-05-05 16:36:50.000,0,imissed,0
2026-05-05 16:36:50.000,0,ierrors,0
2026-05-05 16:36:50.000,0,rx_nombuf,0
2026-05-05 16:36:50.000,0,oerrors,0
2026-05-05 16:36:50.000,0,opackets,0
2026-05-05 16:36:50.000,0,ibytes,3524977462
2026-05-05 16:36:50.000,0,ipackets,58749616
2026-05-05 16:36:51.000,0,obytes,0
2026-05-05 16:36:51.000,0,imissed,0
2026-05-05 16:36:51.000,0,ierrors,0
2026-05-05 16:36:51.000,0,rx_nombuf,0
2026-05-05 16:36:51.000,0,oerrors,0
2026-05-05 16:36:51.000,0,opackets,0
2026-05-05 16:36:51.000,0,ibytes,3806446934
2026-05-05 16:36:51.000,0,ipackets,63440776
2026-05-05 16:36:52.000,0,obytes,0
2026-05-05 16:36:52.000,0,imissed,0
2026-05-05 16:36:52.000,0,ierrors,0
2026-05-05 16:36:52.000,0,rx_nombuf,0
2026-05-05 16:36:52.000,0,oerrors,0
2026-05-05 16:36:52.000,0,opackets,0
2026-05-05 16:36:52.000,0,ibytes,4083837838
2026-05-05 16:36:52.000,0,ipackets,68063962
