Linux 6.8.0-110-generic (testbed-node6) 	28/04/26 	_x86_64_	(24 CPU)

13:42:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:42:25     all    0,54    0,00    0,21    0,00    0,00   13,83    0,00    0,00    0,00   85,42
13:42:25       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:25       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:25       2    0,00    0,00    0,00    0,00    0,00   48,96    0,00    0,00    0,00   51,04
13:42:25       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:25       4    2,15    0,00    0,00    0,00    0,00   48,39    0,00    0,00    0,00   49,46
13:42:25       5    8,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
13:42:25       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:25       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:25       8    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
13:42:25       9    0,00    0,00    0,00    0,00    0,00   39,80    0,00    0,00    0,00   60,20
13:42:25      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:25      11    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
13:42:25      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:25      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:25      14    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
13:42:25      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:25      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:25      17    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
13:42:25      18    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
13:42:25      19    0,00    0,00    1,01    0,00    0,00   57,58    0,00    0,00    0,00   41,41
13:42:25      20    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
13:42:25      21    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:25      22    0,00    0,00    0,00    0,00    0,00   78,30    0,00    0,00    0,00   21,70
13:42:25      23    0,98    0,00    0,00    0,00    0,00   58,82    0,00    0,00    0,00   40,20

13:42:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:42:26     all    0,00    0,00    0,08    0,17    0,00   13,59    0,00    0,00    0,00   86,16
13:42:26       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26       2    0,00    0,00    0,00    0,00    0,00   47,83    0,00    0,00    0,00   52,17
13:42:26       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26       4    0,00    0,00    0,00    0,00    0,00   47,37    0,00    0,00    0,00   52,63
13:42:26       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26       6    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
13:42:26       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26       9    0,00    0,00    0,00    0,00    0,00   41,84    0,00    0,00    0,00   58,16
13:42:26      10    0,00    0,00    0,00    3,96    0,00    0,00    0,00    0,00    0,00   96,04
13:42:26      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26      15    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
13:42:26      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26      17    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26      19    0,00    0,00    0,00    0,00    0,00   58,00    0,00    0,00    0,00   42,00
13:42:26      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26      21    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:26      22    0,00    0,00    0,00    0,00    0,00   76,70    0,00    0,00    0,00   23,30
13:42:26      23    0,00    0,00    0,00    0,00    0,00   58,00    0,00    0,00    0,00   42,00

13:42:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:42:27     all    1,59    0,00    0,75    0,08    0,00   14,17    0,00    0,00    0,00   83,40
13:42:27       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:27       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:27       2    0,00    0,00    0,00    0,00    0,00   49,46    0,00    0,00    0,00   50,54
13:42:27       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:27       4    1,06    0,00    0,00    0,00    0,00   51,06    0,00    0,00    0,00   47,87
13:42:27       5    9,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   90,00
13:42:27       6    1,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   98,00
13:42:27       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:27       8    1,00    0,00    1,00    1,00    0,00    0,00    0,00    0,00    0,00   97,00
13:42:27       9    0,00    0,00    0,00    0,00    0,00   43,30    0,00    0,00    0,00   56,70
13:42:27      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:27      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:27      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:27      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
13:42:27      14    5,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   93,00
13:42:27      15    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
13:42:27      16    4,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   93,00
13:42:27      17    3,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
13:42:27      18    3,03    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   93,94
