Time,Port,Metric,Value
2026-04-24 19:03:33.000,0,obytes,0
2026-04-24 19:03:33.000,0,ipackets,8
2026-04-24 19:03:33.000,0,opackets,0
2026-04-24 19:03:33.000,0,ierrors,0
2026-04-24 19:03:33.000,0,rx_nombuf,0
2026-04-24 19:03:33.000,0,oerrors,0
2026-04-24 19:03:33.000,0,ibytes,1110
2026-04-24 19:03:33.000,0,imissed,0
2026-04-24 19:03:34.000,0,obytes,0
2026-04-24 19:03:34.000,0,ipackets,9
2026-04-24 19:03:34.000,0,opackets,0
2026-04-24 19:03:34.000,0,ierrors,0
2026-04-24 19:03:34.000,0,rx_nombuf,0
2026-04-24 19:03:34.000,0,oerrors,0
2026-04-24 19:03:34.000,0,ibytes,1170
2026-04-24 19:03:34.000,0,imissed,0
2026-04-24 19:03:35.000,0,obytes,0
2026-04-24 19:03:35.000,0,ipackets,9
2026-04-24 19:03:35.000,0,opackets,0
2026-04-24 19:03:35.000,0,ierrors,0
2026-04-24 19:03:35.000,0,rx_nombuf,0
2026-04-24 19:03:35.000,0,oerrors,0
2026-04-24 19:03:35.000,0,ibytes,1170
2026-04-24 19:03:35.000,0,imissed,0
2026-04-24 19:03:36.000,0,obytes,0
2026-04-24 19:03:36.000,0,ipackets,9
2026-04-24 19:03:36.000,0,opackets,0
2026-04-24 19:03:36.000,0,ierrors,0
2026-04-24 19:03:36.000,0,rx_nombuf,0
2026-04-24 19:03:36.000,0,oerrors,0
2026-04-24 19:03:36.000,0,ibytes,1170
2026-04-24 19:03:36.000,0,imissed,0
2026-04-24 19:03:37.000,0,obytes,0
2026-04-24 19:03:37.000,0,ipackets,9
2026-04-24 19:03:37.000,0,opackets,0
2026-04-24 19:03:37.000,0,ierrors,0
2026-04-24 19:03:37.000,0,rx_nombuf,0
2026-04-24 19:03:37.000,0,oerrors,0
2026-04-24 19:03:37.000,0,ibytes,1170
2026-04-24 19:03:37.000,0,imissed,0
2026-04-24 19:03:38.000,0,obytes,0
2026-04-24 19:03:38.000,0,ipackets,9
2026-04-24 19:03:38.000,0,opackets,0
2026-04-24 19:03:38.000,0,ierrors,0
2026-04-24 19:03:38.000,0,rx_nombuf,0
2026-04-24 19:03:38.000,0,oerrors,0
2026-04-24 19:03:38.000,0,ibytes,1170
2026-04-24 19:03:38.000,0,imissed,0
2026-04-24 19:03:39.000,0,obytes,0
2026-04-24 19:03:39.000,0,ipackets,9
2026-04-24 19:03:39.000,0,opackets,0
2026-04-24 19:03:39.000,0,ierrors,0
2026-04-24 19:03:39.000,0,rx_nombuf,0
2026-04-24 19:03:39.000,0,oerrors,0
2026-04-24 19:03:39.000,0,ibytes,1170
2026-04-24 19:03:39.000,0,imissed,0
2026-04-24 19:03:40.000,0,obytes,0
2026-04-24 19:03:40.000,0,ipackets,9
2026-04-24 19:03:40.000,0,opackets,0
2026-04-24 19:03:40.000,0,ierrors,0
2026-04-24 19:03:40.000,0,rx_nombuf,0
2026-04-24 19:03:40.000,0,oerrors,0
2026-04-24 19:03:40.000,0,ibytes,1170
2026-04-24 19:03:40.000,0,imissed,0
2026-04-24 19:03:41.000,0,obytes,0
2026-04-24 19:03:41.000,0,ipackets,9
2026-04-24 19:03:41.000,0,opackets,0
2026-04-24 19:03:41.000,0,ierrors,0
2026-04-24 19:03:41.000,0,rx_nombuf,0
2026-04-24 19:03:41.000,0,oerrors,0
2026-04-24 19:03:41.000,0,ibytes,1170
2026-04-24 19:03:41.000,0,imissed,0
2026-04-24 19:03:42.000,0,obytes,0
2026-04-24 19:03:42.000,0,ipackets,10
2026-04-24 19:03:42.000,0,opackets,0
2026-04-24 19:03:42.000,0,ierrors,0
2026-04-24 19:03:42.000,0,rx_nombuf,0
2026-04-24 19:03:42.000,0,oerrors,0
2026-04-24 19:03:42.000,0,ibytes,1230
2026-04-24 19:03:42.000,0,imissed,0
2026-04-24 19:03:43.000,0,obytes,0
2026-04-24 19:03:43.000,0,ipackets,11
2026-04-24 19:03:43.000,0,opackets,0
2026-04-24 19:03:43.000,0,ierrors,0
2026-04-24 19:03:43.000,0,rx_nombuf,0
2026-04-24 19:03:43.000,0,oerrors,0
2026-04-24 19:03:43.000,0,ibytes,1290
2026-04-24 19:03:43.000,0,imissed,0
2026-04-24 19:03:44.000,0,obytes,0
2026-04-24 19:03:44.000,0,ipackets,12
2026-04-24 19:03:44.000,0,opackets,0
2026-04-24 19:03:44.000,0,ierrors,0
2026-04-24 19:03:44.000,0,rx_nombuf,0
2026-04-24 19:03:44.000,0,oerrors,0
2026-04-24 19:03:44.000,0,ibytes,1350
2026-04-24 19:03:44.000,0,imissed,0
2026-04-24 19:03:45.000,0,obytes,0
2026-04-24 19:03:45.000,0,ipackets,13
2026-04-24 19:03:45.000,0,opackets,0
2026-04-24 19:03:45.000,0,ierrors,0
2026-04-24 19:03:45.000,0,rx_nombuf,0
2026-04-24 19:03:45.000,0,oerrors,0
2026-04-24 19:03:45.000,0,ibytes,1410
2026-04-24 19:03:45.000,0,imissed,0
2026-04-24 19:03:46.000,0,obytes,0
2026-04-24 19:03:46.000,0,ipackets,14
2026-04-24 19:03:46.000,0,opackets,0
2026-04-24 19:03:46.000,0,ierrors,0
2026-04-24 19:03:46.000,0,rx_nombuf,0
2026-04-24 19:03:46.000,0,oerrors,0
2026-04-24 19:03:46.000,0,ibytes,1470
2026-04-24 19:03:46.000,0,imissed,0
2026-04-24 19:03:47.000,0,obytes,0
2026-04-24 19:03:47.000,0,ipackets,15
2026-04-24 19:03:47.000,0,opackets,0
2026-04-24 19:03:47.000,0,ierrors,0
2026-04-24 19:03:47.000,0,rx_nombuf,0
2026-04-24 19:03:47.000,0,oerrors,0
2026-04-24 19:03:47.000,0,ibytes,1530
2026-04-24 19:03:47.000,0,imissed,0
2026-04-24 19:03:48.000,0,obytes,0
2026-04-24 19:03:48.000,0,ipackets,15
2026-04-24 19:03:48.000,0,opackets,0
2026-04-24 19:03:48.000,0,ierrors,0
2026-04-24 19:03:48.000,0,rx_nombuf,0
2026-04-24 19:03:48.000,0,oerrors,0
2026-04-24 19:03:48.000,0,ibytes,1530
2026-04-24 19:03:48.000,0,imissed,0
2026-04-24 19:03:49.000,0,obytes,0
2026-04-24 19:03:49.000,0,ipackets,15
2026-04-24 19:03:49.000,0,opackets,0
2026-04-24 19:03:49.000,0,ierrors,0
2026-04-24 19:03:49.000,0,rx_nombuf,0
2026-04-24 19:03:49.000,0,oerrors,0
2026-04-24 19:03:49.000,0,ibytes,1530
2026-04-24 19:03:49.000,0,imissed,0
2026-04-24 19:03:50.000,0,obytes,0
2026-04-24 19:03:50.000,0,ipackets,15
2026-04-24 19:03:50.000,0,opackets,0
2026-04-24 19:03:50.000,0,ierrors,0
2026-04-24 19:03:50.000,0,rx_nombuf,0
2026-04-24 19:03:50.000,0,oerrors,0
2026-04-24 19:03:50.000,0,ibytes,1530
2026-04-24 19:03:50.000,0,imissed,0
2026-04-24 19:03:51.000,0,obytes,0
2026-04-24 19:03:51.000,0,ipackets,15
2026-04-24 19:03:51.000,0,opackets,0
2026-04-24 19:03:51.000,0,ierrors,0
2026-04-24 19:03:51.000,0,rx_nombuf,0
2026-04-24 19:03:51.000,0,oerrors,0
2026-04-24 19:03:51.000,0,ibytes,1530
2026-04-24 19:03:51.000,0,imissed,0
2026-04-24 19:03:52.000,0,obytes,0
2026-04-24 19:03:52.000,0,ipackets,15
2026-04-24 19:03:52.000,0,opackets,0
2026-04-24 19:03:52.000,0,ierrors,0
2026-04-24 19:03:52.000,0,rx_nombuf,0
2026-04-24 19:03:52.000,0,oerrors,0
2026-04-24 19:03:52.000,0,ibytes,1530
2026-04-24 19:03:52.000,0,imissed,0
2026-04-24 19:03:53.000,0,obytes,0
2026-04-24 19:03:53.000,0,ipackets,15
2026-04-24 19:03:53.000,0,opackets,0
2026-04-24 19:03:53.000,0,ierrors,0
2026-04-24 19:03:53.000,0,rx_nombuf,0
2026-04-24 19:03:53.000,0,oerrors,0
2026-04-24 19:03:53.000,0,ibytes,1530
2026-04-24 19:03:53.000,0,imissed,0
2026-04-24 19:03:54.000,0,obytes,0
2026-04-24 19:03:54.000,0,ipackets,15
2026-04-24 19:03:54.000,0,opackets,0
2026-04-24 19:03:54.000,0,ierrors,0
2026-04-24 19:03:54.000,0,rx_nombuf,0
2026-04-24 19:03:54.000,0,oerrors,0
2026-04-24 19:03:54.000,0,ibytes,1530
2026-04-24 19:03:54.000,0,imissed,0
2026-04-24 19:03:55.000,0,obytes,0
2026-04-24 19:03:55.000,0,ipackets,16
2026-04-24 19:03:55.000,0,opackets,0
2026-04-24 19:03:55.000,0,ierrors,0
2026-04-24 19:03:55.000,0,rx_nombuf,0
2026-04-24 19:03:55.000,0,oerrors,0
2026-04-24 19:03:55.000,0,ibytes,1590
2026-04-24 19:03:55.000,0,imissed,0
2026-04-24 19:03:56.000,0,obytes,0
2026-04-24 19:03:56.000,0,ipackets,17
2026-04-24 19:03:56.000,0,opackets,0
2026-04-24 19:03:56.000,0,ierrors,0
2026-04-24 19:03:56.000,0,rx_nombuf,0
2026-04-24 19:03:56.000,0,oerrors,0
2026-04-24 19:03:56.000,0,ibytes,1650
2026-04-24 19:03:56.000,0,imissed,0
2026-04-24 19:03:57.000,0,obytes,0
2026-04-24 19:03:57.000,0,ipackets,19
2026-04-24 19:03:57.000,0,opackets,0
2026-04-24 19:03:57.000,0,ierrors,0
2026-04-24 19:03:57.000,0,rx_nombuf,0
2026-04-24 19:03:57.000,0,oerrors,0
2026-04-24 19:03:57.000,0,ibytes,1982
2026-04-24 19:03:57.000,0,imissed,0
2026-04-24 19:03:58.000,0,obytes,0
2026-04-24 19:03:58.000,0,ipackets,20
2026-04-24 19:03:58.000,0,opackets,0
2026-04-24 19:03:58.000,0,ierrors,0
2026-04-24 19:03:58.000,0,rx_nombuf,0
2026-04-24 19:03:58.000,0,oerrors,0
2026-04-24 19:03:58.000,0,ibytes,2042
2026-04-24 19:03:58.000,0,imissed,0
2026-04-24 19:03:59.000,0,obytes,0
2026-04-24 19:03:59.000,0,ipackets,21
2026-04-24 19:03:59.000,0,opackets,0
2026-04-24 19:03:59.000,0,ierrors,0
2026-04-24 19:03:59.000,0,rx_nombuf,0
2026-04-24 19:03:59.000,0,oerrors,0
2026-04-24 19:03:59.000,0,ibytes,2102
2026-04-24 19:03:59.000,0,imissed,0
2026-04-24 19:04:00.000,0,obytes,0
2026-04-24 19:04:00.000,0,ipackets,22
2026-04-24 19:04:00.000,0,opackets,0
2026-04-24 19:04:00.000,0,ierrors,0
2026-04-24 19:04:00.000,0,rx_nombuf,0
2026-04-24 19:04:00.000,0,oerrors,0
2026-04-24 19:04:00.000,0,ibytes,2162
2026-04-24 19:04:00.000,0,imissed,0
2026-04-24 19:04:01.000,0,obytes,0
2026-04-24 19:04:01.000,0,ipackets,22
2026-04-24 19:04:01.000,0,opackets,0
2026-04-24 19:04:01.000,0,ierrors,0
2026-04-24 19:04:01.000,0,rx_nombuf,0
2026-04-24 19:04:01.000,0,oerrors,0
2026-04-24 19:04:01.000,0,ibytes,2162
2026-04-24 19:04:01.000,0,imissed,0
2026-04-24 19:04:02.000,0,obytes,0
2026-04-24 19:04:02.000,0,ipackets,22
2026-04-24 19:04:02.000,0,opackets,0
2026-04-24 19:04:02.000,0,ierrors,0
2026-04-24 19:04:02.000,0,rx_nombuf,0
2026-04-24 19:04:02.000,0,oerrors,0
2026-04-24 19:04:02.000,0,ibytes,2162
2026-04-24 19:04:02.000,0,imissed,0
2026-04-24 19:04:03.000,0,obytes,0
2026-04-24 19:04:03.000,0,ipackets,22
2026-04-24 19:04:03.000,0,opackets,0
2026-04-24 19:04:03.000,0,ierrors,0
2026-04-24 19:04:03.000,0,rx_nombuf,0
2026-04-24 19:04:03.000,0,oerrors,0
2026-04-24 19:04:03.000,0,ibytes,2162
2026-04-24 19:04:03.000,0,imissed,0
2026-04-24 19:04:04.000,0,obytes,0
2026-04-24 19:04:04.000,0,ipackets,22
2026-04-24 19:04:04.000,0,opackets,0
2026-04-24 19:04:04.000,0,ierrors,0
2026-04-24 19:04:04.000,0,rx_nombuf,0
2026-04-24 19:04:04.000,0,oerrors,0
2026-04-24 19:04:04.000,0,ibytes,2162
2026-04-24 19:04:04.000,0,imissed,0
2026-04-24 19:04:05.000,0,obytes,0
2026-04-24 19:04:05.000,0,ipackets,22
2026-04-24 19:04:05.000,0,opackets,0
2026-04-24 19:04:05.000,0,ierrors,0
2026-04-24 19:04:05.000,0,rx_nombuf,0
2026-04-24 19:04:05.000,0,oerrors,0
2026-04-24 19:04:05.000,0,ibytes,2162
2026-04-24 19:04:05.000,0,imissed,0
2026-04-24 19:04:06.000,0,obytes,0
2026-04-24 19:04:06.000,0,ipackets,22
2026-04-24 19:04:06.000,0,opackets,0
2026-04-24 19:04:06.000,0,ierrors,0
2026-04-24 19:04:06.000,0,rx_nombuf,0
2026-04-24 19:04:06.000,0,oerrors,0
2026-04-24 19:04:06.000,0,ibytes,2162
2026-04-24 19:04:06.000,0,imissed,0
2026-04-24 19:04:07.000,0,obytes,0
2026-04-24 19:04:07.000,0,ipackets,22
2026-04-24 19:04:07.000,0,opackets,0
2026-04-24 19:04:07.000,0,ierrors,0
2026-04-24 19:04:07.000,0,rx_nombuf,0
2026-04-24 19:04:07.000,0,oerrors,0
2026-04-24 19:04:07.000,0,ibytes,2162
2026-04-24 19:04:07.000,0,imissed,0
