Time,Port,Metric,Value
2026-05-06 12:19:16.000,1,rx_nombuf,0
2026-05-06 12:19:16.000,1,ibytes,0
2026-05-06 12:19:16.000,1,imissed,0
2026-05-06 12:19:16.000,1,obytes,0
2026-05-06 12:19:16.000,1,ierrors,0
2026-05-06 12:19:16.000,1,oerrors,0
2026-05-06 12:19:16.000,1,opackets,0
2026-05-06 12:19:16.000,1,ipackets,0
2026-05-06 12:19:16.000,0,rx_nombuf,0
2026-05-06 12:19:16.000,0,ibytes,0
2026-05-06 12:19:16.000,0,imissed,0
2026-05-06 12:19:16.000,0,obytes,0
2026-05-06 12:19:16.000,0,ierrors,0
2026-05-06 12:19:16.000,0,oerrors,0
2026-05-06 12:19:16.000,0,opackets,0
2026-05-06 12:19:16.000,0,ipackets,0
2026-05-06 12:19:17.000,1,rx_nombuf,0
2026-05-06 12:19:17.000,1,ibytes,369296944
2026-05-06 12:19:17.000,1,imissed,0
2026-05-06 12:19:17.000,1,obytes,0
2026-05-06 12:19:17.000,1,ierrors,0
2026-05-06 12:19:17.000,1,oerrors,0
2026-05-06 12:19:17.000,1,opackets,0
2026-05-06 12:19:17.000,1,ipackets,6154980
2026-05-06 12:19:17.000,0,rx_nombuf,0
2026-05-06 12:19:17.000,0,ibytes,0
2026-05-06 12:19:17.000,0,imissed,0
2026-05-06 12:19:17.000,0,obytes,0
2026-05-06 12:19:17.000,0,ierrors,0
2026-05-06 12:19:17.000,0,oerrors,0
2026-05-06 12:19:17.000,0,opackets,0
2026-05-06 12:19:17.000,0,ipackets,0
2026-05-06 12:19:18.000,1,rx_nombuf,0
2026-05-06 12:19:18.000,1,ibytes,2221344872
2026-05-06 12:19:18.000,1,imissed,610
2026-05-06 12:19:18.000,1,obytes,0
2026-05-06 12:19:18.000,1,ierrors,0
2026-05-06 12:19:18.000,1,oerrors,0
2026-05-06 12:19:18.000,1,opackets,0
2026-05-06 12:19:18.000,1,ipackets,37021833
2026-05-06 12:19:18.000,0,rx_nombuf,0
2026-05-06 12:19:18.000,0,ibytes,0
2026-05-06 12:19:18.000,0,imissed,0
2026-05-06 12:19:18.000,0,obytes,0
2026-05-06 12:19:18.000,0,ierrors,0
2026-05-06 12:19:18.000,0,oerrors,0
2026-05-06 12:19:18.000,0,opackets,0
2026-05-06 12:19:18.000,0,ipackets,0
2026-05-06 12:19:19.000,1,rx_nombuf,0
2026-05-06 12:19:19.000,1,ibytes,4080731828
2026-05-06 12:19:19.000,1,imissed,937
2026-05-06 12:19:19.000,1,obytes,0
2026-05-06 12:19:19.000,1,ierrors,0
2026-05-06 12:19:19.000,1,oerrors,0
2026-05-06 12:19:19.000,1,opackets,0
2026-05-06 12:19:19.000,1,ipackets,68011263
2026-05-06 12:19:19.000,0,rx_nombuf,0
2026-05-06 12:19:19.000,0,ibytes,0
2026-05-06 12:19:19.000,0,imissed,0
2026-05-06 12:19:19.000,0,obytes,0
2026-05-06 12:19:19.000,0,ierrors,0
2026-05-06 12:19:19.000,0,oerrors,0
2026-05-06 12:19:19.000,0,opackets,0
2026-05-06 12:19:19.000,0,ipackets,0
2026-05-06 12:19:20.000,1,rx_nombuf,0
2026-05-06 12:19:20.000,1,ibytes,5907276750
2026-05-06 12:19:20.000,1,imissed,1106
