Linux 6.8.0-111-generic (testbed-node6) 	06/05/26 	_x86_64_	(24 CPU)

12:08:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:08:30     all    1,09    0,00    0,42    0,00    0,00    7,19    0,00    0,00    0,00   91,30
12:08:30       0    0,00    0,00    0,00    0,00    0,00    8,70    0,00    0,00    0,00   91,30
12:08:30       1    0,00    0,00    0,00    0,00    0,00   12,86    0,00    0,00    0,00   87,14
12:08:30       2    1,23    0,00    0,00    0,00    0,00    9,88    0,00    0,00    0,00   88,89
12:08:30       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:08:30       4    0,00    0,00    0,00    0,00    0,00   17,24    0,00    0,00    0,00   82,76
12:08:30       5    0,00    0,00    0,00    0,00    0,00    5,68    0,00    0,00    0,00   94,32
12:08:30       6    1,06    0,00    1,06    0,00    0,00   14,89    0,00    0,00    0,00   82,98
12:08:30       7    0,00    0,00    0,00    0,00    0,00    5,26    0,00    0,00    0,00   94,74
12:08:30       8    0,00    0,00    1,27    0,00    0,00    8,86    0,00    0,00    0,00   89,87
12:08:30       9    0,00    0,00    0,00    0,00    0,00    1,25    0,00    0,00    0,00   98,75
12:08:30      10   13,48    0,00    2,25    0,00    0,00    6,74    0,00    0,00    0,00   77,53
12:08:30      11    2,63    0,00    0,00    0,00    0,00    7,89    0,00    0,00    0,00   89,47
12:08:30      12    1,10    0,00    0,00    0,00    0,00    9,89    0,00    0,00    0,00   89,01
12:08:30      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:08:30      14    1,14    0,00    0,00    0,00    0,00    5,68    0,00    0,00    0,00   93,18
12:08:30      15    0,00    0,00    0,00    0,00    0,00    2,35    0,00    0,00    0,00   97,65
12:08:30      16    1,20    0,00    1,20    0,00    0,00    7,23    0,00    0,00    0,00   90,36
12:08:30      17    0,00    0,00    1,27    0,00    0,00    3,80    0,00    0,00    0,00   94,94
12:08:30      18    0,00    0,00    1,27    0,00    0,00    3,80    0,00    0,00    0,00   94,94
12:08:30      19    0,00    0,00    0,00    0,00    0,00    5,00    0,00    0,00    0,00   95,00
12:08:30      20    1,27    0,00    0,00    0,00    0,00    3,80    0,00    0,00    0,00   94,94
12:08:30      21    1,49    0,00    1,49    0,00    0,00   17,91    0,00    0,00    0,00   79,10
12:08:30      22    0,00    0,00    0,00    0,00    0,00    9,84    0,00    0,00    0,00   90,16
12:08:30      23    0,00    0,00    0,00    0,00    0,00    5,48    0,00    0,00    0,00   94,52

12:08:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:08:31     all    0,16    0,00    0,00    0,00    0,00    4,82    0,00    0,00    0,00   95,02
12:08:31       0    0,00    0,00    0,00    0,00    0,00    3,03    0,00    0,00    0,00   96,97
12:08:31       1    0,00    0,00    0,00    0,00    0,00   10,45    0,00    0,00    0,00   89,55
12:08:31       2    0,00    0,00    0,00    0,00    0,00   10,13    0,00    0,00    0,00   89,87
12:08:31       3    0,00    0,00    0,00    0,00    0,00    1,19    0,00    0,00    0,00   98,81
12:08:31       4    0,00    0,00    0,00    0,00    0,00   16,28    0,00    0,00    0,00   83,72
12:08:31       5    0,00    0,00    0,00    0,00    0,00    1,19    0,00    0,00    0,00   98,81
12:08:31       6    0,00    0,00    0,00    0,00    0,00    4,82    0,00    0,00    0,00   95,18
12:08:31       7    0,00    0,00    0,00    0,00    0,00    4,00    0,00    0,00    0,00   96,00
12:08:31       8    1,23    0,00    0,00    0,00    0,00    9,88    0,00    0,00    0,00   88,89
12:08:31       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:08:31      10    1,11    0,00    0,00    0,00    0,00    6,67    0,00    0,00    0,00   92,22
12:08:31      11    0,00    0,00    0,00    0,00    0,00   21,74    0,00    0,00    0,00   78,26
12:08:31      12    1,16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,84
12:08:31      13    0,00    0,00    0,00    0,00    0,00    1,16    0,00    0,00    0,00   98,84
12:08:31      14    0,00    0,00    0,00    0,00    0,00    3,41    0,00    0,00    0,00   96,59
12:08:31      15    0,00    0,00    0,00    0,00    0,00    3,45    0,00    0,00    0,00   96,55
12:08:31      16    0,00    0,00    0,00    0,00    0,00    3,75    0,00    0,00    0,00   96,25
12:08:31      17    0,00    0,00    0,00    0,00    0,00    1,30    0,00    0,00    0,00   98,70
12:08:31      18    0,00    0,00    0,00    0,00    0,00    1,30    0,00    0,00    0,00   98,70
12:08:31      19    0,00    0,00    0,00    0,00    0,00    1,28    0,00    0,00    0,00   98,72
12:08:31      20    0,00    0,00    0,00    0,00    0,00    1,28    0,00    0,00    0,00   98,72
12:08:31      21    0,00    0,00    0,00    0,00    0,00    1,79    0,00    0,00    0,00   98,21
12:08:31      22    0,00    0,00    0,00    0,00    0,00    1,75    0,00    0,00    0,00   98,25
12:08:31      23    0,00    0,00    0,00    0,00    0,00    1,39    0,00    0,00    0,00   98,61

12:08:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:08:32     all    1,96    0,00    1,19    0,10    0,00    9,28    0,00    0,00    0,00   87,47
