Time,Port,Metric,Value
2026-05-06 12:58:13.000,1,imissed,0
2026-05-06 12:58:13.000,1,rx_nombuf,0
2026-05-06 12:58:13.000,1,ipackets,2060280
2026-05-06 12:58:13.000,1,oerrors,0
2026-05-06 12:58:13.000,1,ibytes,123616564
2026-05-06 12:58:13.000,1,ierrors,0
2026-05-06 12:58:13.000,1,obytes,0
2026-05-06 12:58:13.000,1,opackets,0
2026-05-06 12:58:13.000,0,imissed,0
2026-05-06 12:58:13.000,0,rx_nombuf,0
2026-05-06 12:58:13.000,0,ipackets,0
2026-05-06 12:58:13.000,0,oerrors,0
2026-05-06 12:58:13.000,0,ibytes,0
2026-05-06 12:58:13.000,0,ierrors,0
2026-05-06 12:58:13.000,0,obytes,0
2026-05-06 12:58:13.000,0,opackets,0
2026-05-06 12:58:14.000,1,imissed,0
2026-05-06 12:58:14.000,1,rx_nombuf,0
2026-05-06 12:58:14.000,1,ipackets,8672794
2026-05-06 12:58:14.000,1,oerrors,0
2026-05-06 12:58:14.000,1,ibytes,520367276
2026-05-06 12:58:14.000,1,ierrors,0
2026-05-06 12:58:14.000,1,obytes,0
2026-05-06 12:58:14.000,1,opackets,0
2026-05-06 12:58:14.000,0,imissed,0
2026-05-06 12:58:14.000,0,rx_nombuf,0
2026-05-06 12:58:14.000,0,ipackets,0
2026-05-06 12:58:14.000,0,oerrors,0
2026-05-06 12:58:14.000,0,ibytes,0
2026-05-06 12:58:14.000,0,ierrors,0
2026-05-06 12:58:14.000,0,obytes,0
2026-05-06 12:58:14.000,0,opackets,0
2026-05-06 12:58:15.000,1,imissed,0
2026-05-06 12:58:15.000,1,rx_nombuf,0
2026-05-06 12:58:15.000,1,ipackets,15592685
2026-05-06 12:58:15.000,1,oerrors,0
2026-05-06 12:58:15.000,1,ibytes,935560800
2026-05-06 12:58:15.000,1,ierrors,0
2026-05-06 12:58:15.000,1,obytes,0
2026-05-06 12:58:15.000,1,opackets,0
2026-05-06 12:58:15.000,0,imissed,0
2026-05-06 12:58:15.000,0,rx_nombuf,0
2026-05-06 12:58:15.000,0,ipackets,0
2026-05-06 12:58:15.000,0,oerrors,0
2026-05-06 12:58:15.000,0,ibytes,0
2026-05-06 12:58:15.000,0,ierrors,0
2026-05-06 12:58:15.000,0,obytes,0
2026-05-06 12:58:15.000,0,opackets,0
2026-05-06 12:58:16.000,1,imissed,0
2026-05-06 12:58:16.000,1,rx_nombuf,0
2026-05-06 12:58:16.000,1,ipackets,22291181
2026-05-06 12:58:16.000,1,oerrors,0
2026-05-06 12:58:16.000,1,ibytes,1337470914
2026-05-06 12:58:16.000,1,ierrors,0
2026-05-06 12:58:16.000,1,obytes,0
2026-05-06 12:58:16.000,1,opackets,0
2026-05-06 12:58:16.000,0,imissed,0
2026-05-06 12:58:16.000,0,rx_nombuf,0
2026-05-06 12:58:16.000,0,ipackets,3
2026-05-06 12:58:16.000,0,oerrors,0
