Time,Port,Metric,Value
2026-05-06 13:07:04.000,0,obytes,0
2026-05-06 13:07:04.000,0,imissed,0
2026-05-06 13:07:04.000,0,opackets,0
2026-05-06 13:07:04.000,0,oerrors,0
2026-05-06 13:07:04.000,0,ipackets,3
2026-05-06 13:07:04.000,0,ierrors,0
2026-05-06 13:07:04.000,0,ibytes,810
2026-05-06 13:07:04.000,0,rx_nombuf,0
2026-05-06 13:07:05.000,0,obytes,0
2026-05-06 13:07:05.000,0,imissed,0
2026-05-06 13:07:05.000,0,opackets,0
2026-05-06 13:07:05.000,0,oerrors,0
2026-05-06 13:07:05.000,0,ipackets,3
2026-05-06 13:07:05.000,0,ierrors,0
2026-05-06 13:07:05.000,0,ibytes,810
2026-05-06 13:07:05.000,0,rx_nombuf,0
2026-05-06 13:07:06.000,0,obytes,0
2026-05-06 13:07:06.000,0,imissed,0
2026-05-06 13:07:06.000,0,opackets,0
2026-05-06 13:07:06.000,0,oerrors,0
2026-05-06 13:07:06.000,0,ipackets,3
2026-05-06 13:07:06.000,0,ierrors,0
2026-05-06 13:07:06.000,0,ibytes,810
2026-05-06 13:07:06.000,0,rx_nombuf,0
2026-05-06 13:07:07.000,0,obytes,0
2026-05-06 13:07:07.000,0,imissed,0
2026-05-06 13:07:07.000,0,opackets,0
2026-05-06 13:07:07.000,0,oerrors,0
2026-05-06 13:07:07.000,0,ipackets,3
2026-05-06 13:07:07.000,0,ierrors,0
2026-05-06 13:07:07.000,0,ibytes,810
2026-05-06 13:07:07.000,0,rx_nombuf,0
2026-05-06 13:07:08.000,0,obytes,0
2026-05-06 13:07:08.000,0,imissed,0
2026-05-06 13:07:08.000,0,opackets,0
2026-05-06 13:07:08.000,0,oerrors,0
2026-05-06 13:07:08.000,0,ipackets,3
2026-05-06 13:07:08.000,0,ierrors,0
2026-05-06 13:07:08.000,0,ibytes,810
2026-05-06 13:07:08.000,0,rx_nombuf,0
2026-05-06 13:07:09.000,0,obytes,0
2026-05-06 13:07:09.000,0,imissed,0
2026-05-06 13:07:09.000,0,opackets,0
2026-05-06 13:07:09.000,0,oerrors,0
2026-05-06 13:07:09.000,0,ipackets,3
2026-05-06 13:07:09.000,0,ierrors,0
2026-05-06 13:07:09.000,0,ibytes,810
2026-05-06 13:07:09.000,0,rx_nombuf,0
2026-05-06 13:07:10.000,0,obytes,0
2026-05-06 13:07:10.000,0,imissed,0
2026-05-06 13:07:10.000,0,opackets,0
2026-05-06 13:07:10.000,0,oerrors,0
2026-05-06 13:07:10.000,0,ipackets,783676
2026-05-06 13:07:10.000,0,ierrors,0
2026-05-06 13:07:10.000,0,ibytes,47021062
2026-05-06 13:07:10.000,0,rx_nombuf,0
2026-05-06 13:07:11.000,0,obytes,0
2026-05-06 13:07:11.000,0,imissed,0
2026-05-06 13:07:11.000,0,opackets,0
2026-05-06 13:07:11.000,0,oerrors,0
2026-05-06 13:07:11.000,0,ipackets,5044691
2026-05-06 13:07:11.000,0,ierrors,0
2026-05-06 13:07:11.000,0,ibytes,302681770
2026-05-06 13:07:11.000,0,rx_nombuf,0
2026-05-06 13:07:12.000,0,obytes,0
2026-05-06 13:07:12.000,0,imissed,0
2026-05-06 13:07:12.000,0,opackets,0
2026-05-06 13:07:12.000,0,oerrors,0
2026-05-06 13:07:12.000,0,ipackets,10684963
2026-05-06 13:07:12.000,0,ierrors,0
2026-05-06 13:07:12.000,0,ibytes,641098026
2026-05-06 13:07:12.000,0,rx_nombuf,0
2026-05-06 13:07:13.000,0,obytes,0
2026-05-06 13:07:13.000,0,imissed,0
2026-05-06 13:07:13.000,0,opackets,0
2026-05-06 13:07:13.000,0,oerrors,0
2026-05-06 13:07:13.000,0,ipackets,16319767
2026-05-06 13:07:13.000,0,ierrors,0
2026-05-06 13:07:13.000,0,ibytes,979186458
2026-05-06 13:07:13.000,0,rx_nombuf,0
2026-05-06 13:07:14.000,0,obytes,0
2026-05-06 13:07:14.000,0,imissed,0
2026-05-06 13:07:14.000,0,opackets,0
2026-05-06 13:07:14.000,0,oerrors,0
2026-05-06 13:07:14.000,0,ipackets,21860747
2026-05-06 13:07:14.000,0,ierrors,0
2026-05-06 13:07:14.000,0,ibytes,1311645322
2026-05-06 13:07:14.000,0,rx_nombuf,0
2026-05-06 13:07:15.000,0,obytes,0
2026-05-06 13:07:15.000,0,imissed,0
2026-05-06 13:07:15.000,0,opackets,0
2026-05-06 13:07:15.000,0,oerrors,0
2026-05-06 13:07:15.000,0,ipackets,27305675
2026-05-06 13:07:15.000,0,ierrors,0
2026-05-06 13:07:15.000,0,ibytes,1638340938
2026-05-06 13:07:15.000,0,rx_nombuf,0
