Time,Port,Metric,Value
2026-05-06 12:30:51.000,0,ibytes,810
2026-05-06 12:30:51.000,0,imissed,0
2026-05-06 12:30:51.000,0,obytes,0
2026-05-06 12:30:51.000,0,rx_nombuf,0
2026-05-06 12:30:51.000,0,ierrors,0
2026-05-06 12:30:51.000,0,oerrors,0
2026-05-06 12:30:51.000,0,ipackets,3
2026-05-06 12:30:51.000,0,opackets,0
2026-05-06 12:30:52.000,0,ibytes,810
2026-05-06 12:30:52.000,0,imissed,0
2026-05-06 12:30:52.000,0,obytes,0
2026-05-06 12:30:52.000,0,rx_nombuf,0
2026-05-06 12:30:52.000,0,ierrors,0
2026-05-06 12:30:52.000,0,oerrors,0
2026-05-06 12:30:52.000,0,ipackets,3
2026-05-06 12:30:52.000,0,opackets,0
2026-05-06 12:30:53.000,0,ibytes,810
2026-05-06 12:30:53.000,0,imissed,0
2026-05-06 12:30:53.000,0,obytes,0
2026-05-06 12:30:53.000,0,rx_nombuf,0
2026-05-06 12:30:53.000,0,ierrors,0
2026-05-06 12:30:53.000,0,oerrors,0
2026-05-06 12:30:53.000,0,ipackets,3
2026-05-06 12:30:53.000,0,opackets,0
2026-05-06 12:30:54.000,0,ibytes,810
2026-05-06 12:30:54.000,0,imissed,0
2026-05-06 12:30:54.000,0,obytes,0
2026-05-06 12:30:54.000,0,rx_nombuf,0
2026-05-06 12:30:54.000,0,ierrors,0
2026-05-06 12:30:54.000,0,oerrors,0
2026-05-06 12:30:54.000,0,ipackets,3
2026-05-06 12:30:54.000,0,opackets,0
2026-05-06 12:30:55.000,0,ibytes,810
2026-05-06 12:30:55.000,0,imissed,0
2026-05-06 12:30:55.000,0,obytes,0
2026-05-06 12:30:55.000,0,rx_nombuf,0
2026-05-06 12:30:55.000,0,ierrors,0
2026-05-06 12:30:55.000,0,oerrors,0
2026-05-06 12:30:55.000,0,ipackets,3
2026-05-06 12:30:55.000,0,opackets,0
2026-05-06 12:30:56.000,0,ibytes,810
2026-05-06 12:30:56.000,0,imissed,0
2026-05-06 12:30:56.000,0,obytes,0
2026-05-06 12:30:56.000,0,rx_nombuf,0
2026-05-06 12:30:56.000,0,ierrors,0
2026-05-06 12:30:56.000,0,oerrors,0
2026-05-06 12:30:56.000,0,ipackets,3
2026-05-06 12:30:56.000,0,opackets,0
2026-05-06 12:30:57.000,0,ibytes,810
2026-05-06 12:30:57.000,0,imissed,0
2026-05-06 12:30:57.000,0,obytes,0
2026-05-06 12:30:57.000,0,rx_nombuf,0
2026-05-06 12:30:57.000,0,ierrors,0
2026-05-06 12:30:57.000,0,oerrors,0
2026-05-06 12:30:57.000,0,ipackets,3
2026-05-06 12:30:57.000,0,opackets,0
2026-05-06 12:30:58.000,0,ibytes,810
2026-05-06 12:30:58.000,0,imissed,0
2026-05-06 12:30:58.000,0,obytes,0
2026-05-06 12:30:58.000,0,rx_nombuf,0
2026-05-06 12:30:58.000,0,ierrors,0
2026-05-06 12:30:58.000,0,oerrors,0
2026-05-06 12:30:58.000,0,ipackets,3
2026-05-06 12:30:58.000,0,opackets,0
2026-05-06 12:30:59.000,0,ibytes,810
2026-05-06 12:30:59.000,0,imissed,0
2026-05-06 12:30:59.000,0,obytes,0
2026-05-06 12:30:59.000,0,rx_nombuf,0
2026-05-06 12:30:59.000,0,ierrors,0
2026-05-06 12:30:59.000,0,oerrors,0
2026-05-06 12:30:59.000,0,ipackets,3
2026-05-06 12:30:59.000,0,opackets,0
2026-05-06 12:31:00.000,0,ibytes,810
2026-05-06 12:31:00.000,0,imissed,0
2026-05-06 12:31:00.000,0,obytes,0
2026-05-06 12:31:00.000,0,rx_nombuf,0
2026-05-06 12:31:00.000,0,ierrors,0
2026-05-06 12:31:00.000,0,oerrors,0
2026-05-06 12:31:00.000,0,ipackets,3
2026-05-06 12:31:00.000,0,opackets,0
2026-05-06 12:31:01.000,0,ibytes,810
2026-05-06 12:31:01.000,0,imissed,0
2026-05-06 12:31:01.000,0,obytes,0
2026-05-06 12:31:01.000,0,rx_nombuf,0
2026-05-06 12:31:01.000,0,ierrors,0
2026-05-06 12:31:01.000,0,oerrors,0
2026-05-06 12:31:01.000,0,ipackets,3
2026-05-06 12:31:01.000,0,opackets,0
2026-05-06 12:31:02.000,0,ibytes,810
2026-05-06 12:31:02.000,0,imissed,0
2026-05-06 12:31:02.000,0,obytes,0
2026-05-06 12:31:02.000,0,rx_nombuf,0
2026-05-06 12:31:02.000,0,ierrors,0
2026-05-06 12:31:02.000,0,oerrors,0
2026-05-06 12:31:02.000,0,ipackets,3
2026-05-06 12:31:02.000,0,opackets,0
