Time,Port,Metric,Value
2026-05-06 12:34:31.000,1,rx_nombuf,0
2026-05-06 12:34:31.000,1,opackets,0
2026-05-06 12:34:31.000,1,ierrors,0
2026-05-06 12:34:31.000,1,ipackets,1
2026-05-06 12:34:31.000,1,ibytes,272
2026-05-06 12:34:31.000,1,oerrors,0
2026-05-06 12:34:31.000,1,obytes,0
2026-05-06 12:34:31.000,1,imissed,0
2026-05-06 12:34:31.000,0,rx_nombuf,0
2026-05-06 12:34:31.000,0,opackets,0
2026-05-06 12:34:31.000,0,ierrors,0
2026-05-06 12:34:31.000,0,ipackets,0
2026-05-06 12:34:31.000,0,ibytes,0
2026-05-06 12:34:31.000,0,oerrors,0
2026-05-06 12:34:31.000,0,obytes,0
2026-05-06 12:34:31.000,0,imissed,0
2026-05-06 12:34:32.000,1,rx_nombuf,0
2026-05-06 12:34:32.000,1,opackets,0
2026-05-06 12:34:32.000,1,ierrors,0
2026-05-06 12:34:32.000,1,ipackets,23003029
2026-05-06 12:34:32.000,1,ibytes,1380192684
2026-05-06 12:34:32.000,1,oerrors,0
2026-05-06 12:34:32.000,1,obytes,0
2026-05-06 12:34:32.000,1,imissed,197
2026-05-06 12:34:32.000,0,rx_nombuf,0
2026-05-06 12:34:32.000,0,opackets,0
2026-05-06 12:34:32.000,0,ierrors,0
2026-05-06 12:34:32.000,0,ipackets,0
2026-05-06 12:34:32.000,0,ibytes,0
2026-05-06 12:34:32.000,0,oerrors,0
2026-05-06 12:34:32.000,0,obytes,0
2026-05-06 12:34:32.000,0,imissed,0
2026-05-06 12:34:33.000,1,rx_nombuf,0
2026-05-06 12:34:33.000,1,opackets,0
2026-05-06 12:34:33.000,1,ierrors,0
2026-05-06 12:34:33.000,1,ipackets,52910921
2026-05-06 12:34:33.000,1,ibytes,3174665726
2026-05-06 12:34:33.000,1,oerrors,0
2026-05-06 12:34:33.000,1,obytes,0
2026-05-06 12:34:33.000,1,imissed,197
2026-05-06 12:34:33.000,0,rx_nombuf,0
2026-05-06 12:34:33.000,0,opackets,0
2026-05-06 12:34:33.000,0,ierrors,0
2026-05-06 12:34:33.000,0,ipackets,3
2026-05-06 12:34:33.000,0,ibytes,814
2026-05-06 12:34:33.000,0,oerrors,0
2026-05-06 12:34:33.000,0,obytes,0
2026-05-06 12:34:33.000,0,imissed,0
2026-05-06 12:34:34.000,1,rx_nombuf,0
2026-05-06 12:34:34.000,1,opackets,0
2026-05-06 12:34:34.000,1,ierrors,0
2026-05-06 12:34:34.000,1,ipackets,68090230
2026-05-06 12:34:34.000,1,ibytes,4085425418
2026-05-06 12:34:34.000,1,oerrors,0
2026-05-06 12:34:34.000,1,obytes,0
2026-05-06 12:34:34.000,1,imissed,197
2026-05-06 12:34:34.000,0,rx_nombuf,0
2026-05-06 12:34:34.000,0,opackets,36814987
2026-05-06 12:34:34.000,0,ierrors,0
2026-05-06 12:34:34.000,0,ipackets,3
2026-05-06 12:34:34.000,0,ibytes,814
2026-05-06 12:34:34.000,0,oerrors,0
2026-05-06 12:34:34.000,0,obytes,2208897108
2026-05-06 12:34:34.000,0,imissed,0
2026-05-06 12:34:35.000,1,rx_nombuf,0
2026-05-06 12:34:35.000,1,opackets,0
2026-05-06 12:34:35.000,1,ierrors,0
2026-05-06 12:34:35.000,1,ipackets,82893215
2026-05-06 12:34:35.000,1,ibytes,4973604390
2026-05-06 12:34:35.000,1,oerrors,0
2026-05-06 12:34:35.000,1,obytes,0
2026-05-06 12:34:35.000,1,imissed,197
2026-05-06 12:34:35.000,0,rx_nombuf,0
2026-05-06 12:34:35.000,0,opackets,73882169
2026-05-06 12:34:35.000,0,ierrors,0
2026-05-06 12:34:35.000,0,ipackets,3
2026-05-06 12:34:35.000,0,ibytes,814
2026-05-06 12:34:35.000,0,oerrors,0
2026-05-06 12:34:35.000,0,obytes,4432928156
2026-05-06 12:34:35.000,0,imissed,0
2026-05-06 12:34:36.000,1,rx_nombuf,0
2026-05-06 12:34:36.000,1,opackets,0
2026-05-06 12:34:36.000,1,ierrors,0
2026-05-06 12:34:36.000,1,ipackets,98003648
2026-05-06 12:34:36.000,1,ibytes,5880230434
