Time,Port,Metric,Value
2026-05-06 12:39:16.000,0,imissed,0
2026-05-06 12:39:16.000,0,ierrors,0
2026-05-06 12:39:16.000,0,ipackets,3
2026-05-06 12:39:16.000,0,obytes,374878180
2026-05-06 12:39:16.000,0,opackets,6248007
2026-05-06 12:39:16.000,0,ibytes,810
2026-05-06 12:39:16.000,0,rx_nombuf,0
2026-05-06 12:39:16.000,0,oerrors,17
2026-05-06 12:39:17.000,0,imissed,0
2026-05-06 12:39:17.000,0,ierrors,0
2026-05-06 12:39:17.000,0,ipackets,3
2026-05-06 12:39:17.000,0,obytes,2607071976
2026-05-06 12:39:17.000,0,opackets,43451238
2026-05-06 12:39:17.000,0,ibytes,810
2026-05-06 12:39:17.000,0,rx_nombuf,0
2026-05-06 12:39:17.000,0,oerrors,117
2026-05-06 12:39:18.000,0,imissed,0
2026-05-06 12:39:18.000,0,ierrors,0
2026-05-06 12:39:18.000,0,ipackets,3
2026-05-06 12:39:18.000,0,obytes,4839263920
2026-05-06 12:39:18.000,0,opackets,80654436
2026-05-06 12:39:18.000,0,ibytes,810
2026-05-06 12:39:18.000,0,rx_nombuf,0
2026-05-06 12:39:18.000,0,oerrors,217
2026-05-06 12:39:19.000,0,imissed,0
2026-05-06 12:39:19.000,0,ierrors,0
2026-05-06 12:39:19.000,0,ipackets,3
2026-05-06 12:39:19.000,0,obytes,7071457120
2026-05-06 12:39:19.000,0,opackets,117857656
2026-05-06 12:39:19.000,0,ibytes,810
2026-05-06 12:39:19.000,0,rx_nombuf,0
2026-05-06 12:39:19.000,0,oerrors,317
2026-05-06 12:39:20.000,0,imissed,0
2026-05-06 12:39:20.000,0,ierrors,0
2026-05-06 12:39:20.000,0,ipackets,3
2026-05-06 12:39:20.000,0,obytes,9303649776
2026-05-06 12:39:20.000,0,opackets,155060868
2026-05-06 12:39:20.000,0,ibytes,810
2026-05-06 12:39:20.000,0,rx_nombuf,0
2026-05-06 12:39:20.000,0,oerrors,417
2026-05-06 12:39:21.000,0,imissed,0
2026-05-06 12:39:21.000,0,ierrors,0
2026-05-06 12:39:21.000,0,ipackets,3
2026-05-06 12:39:21.000,0,obytes,11535842556
2026-05-06 12:39:21.000,0,opackets,192264081
2026-05-06 12:39:21.000,0,ibytes,810
2026-05-06 12:39:21.000,0,rx_nombuf,0
2026-05-06 12:39:21.000,0,oerrors,517
2026-05-06 12:39:22.000,0,imissed,0
2026-05-06 12:39:22.000,0,ierrors,0
2026-05-06 12:39:22.000,0,ipackets,3
2026-05-06 12:39:22.000,0,obytes,13768035284
2026-05-06 12:39:22.000,0,opackets,229467291
2026-05-06 12:39:22.000,0,ibytes,810
2026-05-06 12:39:22.000,0,rx_nombuf,0
2026-05-06 12:39:22.000,0,oerrors,617
2026-05-06 12:39:23.000,0,imissed,0
2026-05-06 12:39:23.000,0,ierrors,0
2026-05-06 12:39:23.000,0,ipackets,3
2026-05-06 12:39:23.000,0,obytes,16000228240
2026-05-06 12:39:23.000,0,opackets,266670508
2026-05-06 12:39:23.000,0,ibytes,810
2026-05-06 12:39:23.000,0,rx_nombuf,0
2026-05-06 12:39:23.000,0,oerrors,717
2026-05-06 12:39:24.000,0,imissed,0
2026-05-06 12:39:24.000,0,ierrors,0
2026-05-06 12:39:24.000,0,ipackets,3
2026-05-06 12:39:24.000,0,obytes,18232420960
2026-05-06 12:39:24.000,0,opackets,303873720
2026-05-06 12:39:24.000,0,ibytes,810
2026-05-06 12:39:24.000,0,rx_nombuf,0
2026-05-06 12:39:24.000,0,oerrors,817
2026-05-06 12:39:25.000,0,imissed,0
2026-05-06 12:39:25.000,0,ierrors,0
2026-05-06 12:39:25.000,0,ipackets,4
2026-05-06 12:39:25.000,0,obytes,20464612960
2026-05-06 12:39:25.000,0,opackets,341076920
2026-05-06 12:39:25.000,0,ibytes,1143
2026-05-06 12:39:25.000,0,rx_nombuf,0
2026-05-06 12:39:25.000,0,oerrors,917
2026-05-06 12:39:26.000,0,imissed,0
2026-05-06 12:39:26.000,0,ierrors,0
2026-05-06 12:39:26.000,0,ipackets,4
2026-05-06 12:39:26.000,0,obytes,22696805556
2026-05-06 12:39:26.000,0,opackets,378280131
2026-05-06 12:39:26.000,0,ibytes,1143
2026-05-06 12:39:26.000,0,rx_nombuf,0
2026-05-06 12:39:26.000,0,oerrors,1017
2026-05-06 12:39:27.000,0,imissed,0
2026-05-06 12:39:27.000,0,ierrors,0
2026-05-06 12:39:27.000,0,ipackets,5
2026-05-06 12:39:27.000,0,obytes,24928998588
2026-05-06 12:39:27.000,0,opackets,415483345
2026-05-06 12:39:27.000,0,ibytes,1476
2026-05-06 12:39:27.000,0,rx_nombuf,0
2026-05-06 12:39:27.000,0,oerrors,1117
2026-05-06 12:39:28.000,0,imissed,0
2026-05-06 12:39:28.000,0,ierrors,0
2026-05-06 12:39:28.000,0,ipackets,5
2026-05-06 12:39:28.000,0,obytes,27160998092
2026-05-06 12:39:28.000,0,opackets,452683341
2026-05-06 12:39:28.000,0,ibytes,1476
2026-05-06 12:39:28.000,0,rx_nombuf,0
2026-05-06 12:39:28.000,0,oerrors,1217
2026-05-06 12:39:29.000,0,imissed,0
2026-05-06 12:39:29.000,0,ierrors,0
2026-05-06 12:39:29.000,0,ipackets,5
2026-05-06 12:39:29.000,0,obytes,29391376004
2026-05-06 12:39:29.000,0,opackets,489856303
2026-05-06 12:39:29.000,0,ibytes,1476
2026-05-06 12:39:29.000,0,rx_nombuf,0
2026-05-06 12:39:29.000,0,oerrors,1317
2026-05-06 12:39:30.000,0,imissed,0
2026-05-06 12:39:30.000,0,ierrors,0
2026-05-06 12:39:30.000,0,ipackets,5
2026-05-06 12:39:30.000,0,obytes,31623566864
2026-05-06 12:39:30.000,0,opackets,527059484
2026-05-06 12:39:30.000,0,ibytes,1476
2026-05-06 12:39:30.000,0,rx_nombuf,0
2026-05-06 12:39:30.000,0,oerrors,1417
2026-05-06 12:39:31.000,0,imissed,0
2026-05-06 12:39:31.000,0,ierrors,0
2026-05-06 12:39:31.000,0,ipackets,6
2026-05-06 12:39:31.000,0,obytes,33853065348
2026-05-06 12:39:31.000,0,opackets,564217791
2026-05-06 12:39:31.000,0,ibytes,1809
2026-05-06 12:39:31.000,0,rx_nombuf,0
2026-05-06 12:39:31.000,0,oerrors,1517
2026-05-06 12:39:32.000,0,imissed,0
2026-05-06 12:39:32.000,0,ierrors,0
2026-05-06 12:39:32.000,0,ipackets,6
2026-05-06 12:39:32.000,0,obytes,36084969700
2026-05-06 12:39:32.000,0,opackets,601416199
2026-05-06 12:39:32.000,0,ibytes,1809
2026-05-06 12:39:32.000,0,rx_nombuf,0
2026-05-06 12:39:32.000,0,oerrors,1617
2026-05-06 12:39:33.000,0,imissed,0
2026-05-06 12:39:33.000,0,ierrors,0
2026-05-06 12:39:33.000,0,ipackets,6
2026-05-06 12:39:33.000,0,obytes,38315493760
2026-05-06 12:39:33.000,0,opackets,638591600
2026-05-06 12:39:33.000,0,ibytes,1809
2026-05-06 12:39:33.000,0,rx_nombuf,0
2026-05-06 12:39:33.000,0,oerrors,1717
2026-05-06 12:39:34.000,0,imissed,0
2026-05-06 12:39:34.000,0,ierrors,0
2026-05-06 12:39:34.000,0,ipackets,6
2026-05-06 12:39:34.000,0,obytes,40547674352
2026-05-06 12:39:34.000,0,opackets,675794612
2026-05-06 12:39:34.000,0,ibytes,1809
2026-05-06 12:39:34.000,0,rx_nombuf,0
2026-05-06 12:39:34.000,0,oerrors,1817
2026-05-06 12:39:35.000,0,imissed,0
2026-05-06 12:39:35.000,0,ierrors,0
2026-05-06 12:39:35.000,0,ipackets,6
2026-05-06 12:39:35.000,0,obytes,42777705520
2026-05-06 12:39:35.000,0,opackets,712961796
2026-05-06 12:39:35.000,0,ibytes,1809
2026-05-06 12:39:35.000,0,rx_nombuf,0
2026-05-06 12:39:35.000,0,oerrors,1917
2026-05-06 12:39:36.000,0,imissed,0
2026-05-06 12:39:36.000,0,ierrors,0
2026-05-06 12:39:36.000,0,ipackets,6
2026-05-06 12:39:36.000,0,obytes,45009890804
2026-05-06 12:39:36.000,0,opackets,750164883
2026-05-06 12:39:36.000,0,ibytes,1809
2026-05-06 12:39:36.000,0,rx_nombuf,0
2026-05-06 12:39:36.000,0,oerrors,2017
2026-05-06 12:39:37.000,0,imissed,0
2026-05-06 12:39:37.000,0,ierrors,0
2026-05-06 12:39:37.000,0,ipackets,6
2026-05-06 12:39:37.000,0,obytes,47237102620
2026-05-06 12:39:37.000,0,opackets,787285081
2026-05-06 12:39:37.000,0,ibytes,1809
2026-05-06 12:39:37.000,0,rx_nombuf,0
