Time,Port,Metric,Value
2026-05-06 12:48:48.000,0,opackets,0
2026-05-06 12:48:48.000,0,imissed,0
2026-05-06 12:48:48.000,0,ibytes,538
2026-05-06 12:48:48.000,0,oerrors,0
2026-05-06 12:48:48.000,0,obytes,0
2026-05-06 12:48:48.000,0,ierrors,0
2026-05-06 12:48:48.000,0,ipackets,2
2026-05-06 12:48:48.000,0,rx_nombuf,0
2026-05-06 12:48:49.000,0,opackets,18115260
2026-05-06 12:48:49.000,0,imissed,0
2026-05-06 12:48:49.000,0,ibytes,538
2026-05-06 12:48:49.000,0,oerrors,49
2026-05-06 12:48:49.000,0,obytes,1086913296
2026-05-06 12:48:49.000,0,ierrors,0
2026-05-06 12:48:49.000,0,ipackets,2
2026-05-06 12:48:49.000,0,rx_nombuf,0
2026-05-06 12:48:50.000,0,opackets,55209237
2026-05-06 12:48:50.000,0,imissed,0
2026-05-06 12:48:50.000,0,ibytes,538
2026-05-06 12:48:50.000,0,oerrors,149
2026-05-06 12:48:50.000,0,obytes,3312551852
2026-05-06 12:48:50.000,0,ierrors,0
2026-05-06 12:48:50.000,0,ipackets,2
2026-05-06 12:48:50.000,0,rx_nombuf,0
2026-05-06 12:48:51.000,0,opackets,92321917
2026-05-06 12:48:51.000,0,imissed,0
2026-05-06 12:48:51.000,0,ibytes,538
2026-05-06 12:48:51.000,0,oerrors,249
2026-05-06 12:48:51.000,0,obytes,5539312844
2026-05-06 12:48:51.000,0,ierrors,0
2026-05-06 12:48:51.000,0,ipackets,2
2026-05-06 12:48:51.000,0,rx_nombuf,0
2026-05-06 12:48:52.000,0,opackets,129430191
2026-05-06 12:48:52.000,0,imissed,0
2026-05-06 12:48:52.000,0,ibytes,538
2026-05-06 12:48:52.000,0,oerrors,349
2026-05-06 12:48:52.000,0,obytes,7765809348
2026-05-06 12:48:52.000,0,ierrors,0
2026-05-06 12:48:52.000,0,ipackets,2
2026-05-06 12:48:52.000,0,rx_nombuf,0
2026-05-06 12:48:53.000,0,opackets,166567630
2026-05-06 12:48:53.000,0,imissed,0
2026-05-06 12:48:53.000,0,ibytes,538
2026-05-06 12:48:53.000,0,oerrors,449
2026-05-06 12:48:53.000,0,obytes,9994055432
2026-05-06 12:48:53.000,0,ierrors,0
2026-05-06 12:48:53.000,0,ipackets,2
2026-05-06 12:48:53.000,0,rx_nombuf,0
2026-05-06 12:48:54.000,0,opackets,203606688
2026-05-06 12:48:54.000,0,imissed,0
2026-05-06 12:48:54.000,0,ibytes,538
2026-05-06 12:48:54.000,0,oerrors,549
2026-05-06 12:48:54.000,0,obytes,12216399104
2026-05-06 12:48:54.000,0,ierrors,0
2026-05-06 12:48:54.000,0,ipackets,2
2026-05-06 12:48:54.000,0,rx_nombuf,0
2026-05-06 12:48:55.000,0,opackets,240784739
2026-05-06 12:48:55.000,0,imissed,0
2026-05-06 12:48:55.000,0,ibytes,871
2026-05-06 12:48:55.000,0,oerrors,649
2026-05-06 12:48:55.000,0,obytes,14447082164
2026-05-06 12:48:55.000,0,ierrors,0
2026-05-06 12:48:55.000,0,ipackets,3
2026-05-06 12:48:55.000,0,rx_nombuf,0
2026-05-06 12:48:56.000,0,opackets,277984521
2026-05-06 12:48:56.000,0,imissed,0
2026-05-06 12:48:56.000,0,ibytes,871
2026-05-06 12:48:56.000,0,oerrors,749
2026-05-06 12:48:56.000,0,obytes,16679068892
2026-05-06 12:48:56.000,0,ierrors,0
2026-05-06 12:48:56.000,0,ipackets,3
2026-05-06 12:48:56.000,0,rx_nombuf,0
2026-05-06 12:48:57.000,0,opackets,315187711
2026-05-06 12:48:57.000,0,imissed,0
2026-05-06 12:48:57.000,0,ibytes,1204
2026-05-06 12:48:57.000,0,oerrors,849
2026-05-06 12:48:57.000,0,obytes,18911260484
2026-05-06 12:48:57.000,0,ierrors,0
2026-05-06 12:48:57.000,0,ipackets,4
2026-05-06 12:48:57.000,0,rx_nombuf,0
2026-05-06 12:48:58.000,0,opackets,352387787
2026-05-06 12:48:58.000,0,imissed,0
2026-05-06 12:48:58.000,0,ibytes,1204
2026-05-06 12:48:58.000,0,oerrors,949
2026-05-06 12:48:58.000,0,obytes,21143264596
2026-05-06 12:48:58.000,0,ierrors,0
2026-05-06 12:48:58.000,0,ipackets,4
2026-05-06 12:48:58.000,0,rx_nombuf,0
2026-05-06 12:48:59.000,0,opackets,389585661
