Linux 6.8.0-111-generic (testbed-node6) 	06/05/26 	_x86_64_	(24 CPU)

12:43:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:43:41     all    0,79    0,00    0,21    0,00    0,00   16,01    0,00    0,00    0,00   82,99
12:43:41       0    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
12:43:41       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:41       2    0,00    0,00    0,00    0,00    0,00   34,69    0,00    0,00    0,00   65,31
12:43:41       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:41       4    0,00    0,00    0,00    0,00    0,00   36,63    0,00    0,00    0,00   63,37
12:43:41       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:41       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:41       7    0,00    0,00    0,00    0,00    0,00   35,35    0,00    0,00    0,00   64,65
12:43:41       8    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
12:43:41       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:41      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:41      11    0,00    0,00    0,00    0,00    0,00   27,38    0,00    0,00    0,00   72,62
12:43:41      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:41      13    7,92    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   91,09
12:43:41      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:41      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:41      16    7,07    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   91,92
12:43:41      17    0,00    0,00    0,92    0,00    0,00   70,64    0,00    0,00    0,00   28,44
12:43:41      18    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
12:43:41      19    1,98    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,02
12:43:41      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:41      21    0,00    0,00    0,00    0,00    0,00   82,86    0,00    0,00    0,00   17,14
12:43:41      22    0,00    0,00    0,00    0,00    0,00   86,67    0,00    0,00    0,00   13,33
12:43:41      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

12:43:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:43:42     all    0,37    0,00    0,00    0,12    0,00   16,02    0,00    0,00    0,00   83,49
12:43:42       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:42       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:42       2    0,00    0,00    0,00    0,00    0,00   33,33    0,00    0,00    0,00   66,67
12:43:42       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:42       4    0,00    0,00    0,00    0,00    0,00   35,92    0,00    0,00    0,00   64,08
12:43:42       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:42       6    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   99,00
12:43:42       7    0,00    0,00    0,00    0,00    0,00   35,00    0,00    0,00    0,00   65,00
12:43:42       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:42       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:42      10    1,00    0,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00   97,00
12:43:42      11    0,00    0,00    0,00    0,00    0,00   32,29    0,00    0,00    0,00   67,71
12:43:42      12    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
12:43:42      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:42      14    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
12:43:42      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:42      16    5,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
12:43:42      17    0,00    0,00    0,00    0,00    0,00   69,44    0,00    0,00    0,00   30,56
12:43:42      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:42      19    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
12:43:42      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:42      21    0,00    0,00    0,00    0,00    0,00   81,90    0,00    0,00    0,00   18,10
12:43:42      22    0,00    0,00    0,00    0,00    0,00   85,71    0,00    0,00    0,00   14,29
12:43:42      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

12:43:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:43:43     all    2,20    0,00    0,75    0,04    0,00   17,21    0,00    0,00    0,00   79,81
12:43:43       0    4,04    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   94,95
12:43:43       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:43       2    0,00    0,00    0,00    0,00    0,00   36,73    0,00    0,00    0,00   63,27
12:43:43       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:43       4    0,97    0,00    0,00    0,00    0,00   39,81    0,00    0,00    0,00   59,22
12:43:43       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:43       6    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
12:43:43       7    0,00    0,00    1,02    0,00    0,00   35,71    0,00    0,00    0,00   63,27
12:43:43       8    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
12:43:43       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:43      10    1,00    0,00    2,00    1,00    0,00    0,00    0,00    0,00    0,00   96,00
12:43:43      11    0,00    0,00    1,00    0,00    0,00   37,00    0,00    0,00    0,00   62,00
12:43:43      12    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
12:43:43      13    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
12:43:43      14    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
12:43:43      15    5,00    0,00    0,00    0,00    0,00    1,00    0,00    0,00    0,00   94,00
12:43:43      16    4,95    0,00    2,97    0,00    0,00    0,00    0,00    0,00    0,00   92,08
12:43:43      17    0,95    0,00    0,00    0,00    0,00   78,10    0,00    0,00    0,00   20,95
12:43:43      18   22,22    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   76,77
12:43:43      19    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
12:43:43      20    3,96    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   94,06
12:43:43      21    0,00    0,00    0,00    0,00    0,00   85,71    0,00    0,00    0,00   14,29
12:43:43      22    0,00    0,00    0,95    0,00    0,00   88,57    0,00    0,00    0,00   10,48
12:43:43      23    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01

12:43:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:43:44     all    0,17    0,00    0,04    0,00    0,00   16,27    0,00    0,00    0,00   83,53
12:43:44       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44       2    0,00    0,00    1,01    0,00    0,00   32,32    0,00    0,00    0,00   66,67
12:43:44       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44       4    0,00    0,00    0,00    0,00    0,00   34,00    0,00    0,00    0,00   66,00
12:43:44       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44       6    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
12:43:44       7    0,00    0,00    0,00    0,00    0,00   37,00    0,00    0,00    0,00   63,00
12:43:44       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44      11    0,00    0,00    0,00    0,00    0,00   36,54    0,00    0,00    0,00   63,46
12:43:44      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44      15    2,97    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,03
12:43:44      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44      17    0,00    0,00    0,00    0,00    0,00   73,58    0,00    0,00    0,00   26,42
12:43:44      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:44      21    0,00    0,00    0,00    0,00    0,00   80,19    0,00    0,00    0,00   19,81
12:43:44      22    0,00    0,00    0,00    0,00    0,00   84,11    0,00    0,00    0,00   15,89
12:43:44      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

12:43:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:43:45     all    0,25    0,00    0,04    0,00    0,00   15,86    0,00    0,00    0,00   83,85
12:43:45       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45       2    0,00    0,00    0,00    0,00    0,00   37,50    0,00    0,00    0,00   62,50
12:43:45       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45       4    0,00    0,00    0,00    0,00    0,00   35,64    0,00    0,00    0,00   64,36
12:43:45       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45       6    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
12:43:45       7    0,00    0,00    0,00    0,00    0,00   32,99    0,00    0,00    0,00   67,01
12:43:45       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45      11    0,00    0,00    0,00    0,00    0,00   30,11    0,00    0,00    0,00   69,89
12:43:45      12    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
12:43:45      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45      15    4,04    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   95,96
12:43:45      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45      17    0,00    0,00    0,97    0,00    0,00   72,82    0,00    0,00    0,00   26,21
12:43:45      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:45      21    0,00    0,00    0,00    0,00    0,00   80,77    0,00    0,00    0,00   19,23
12:43:45      22    0,00    0,00    0,00    0,00    0,00   82,86    0,00    0,00    0,00   17,14
12:43:45      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

12:43:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:43:46     all    0,25    0,00    0,04    0,00    0,00   16,17    0,00    0,00    0,00   83,54
12:43:46       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46       2    0,00    0,00    0,00    0,00    0,00   35,29    0,00    0,00    0,00   64,71
12:43:46       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46       4    0,00    0,00    0,00    0,00    0,00   35,29    0,00    0,00    0,00   64,71
12:43:46       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46       6    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
12:43:46       7    0,00    0,00    0,00    0,00    0,00   34,38    0,00    0,00    0,00   65,62
12:43:46       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46      11    0,00    0,00    0,00    0,00    0,00   34,34    0,00    0,00    0,00   65,66
12:43:46      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46      14    5,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
12:43:46      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46      17    0,00    0,00    0,00    0,00    0,00   73,58    0,00    0,00    0,00   26,42
12:43:46      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:46      21    0,00    0,00    0,97    0,00    0,00   81,55    0,00    0,00    0,00   17,48
12:43:46      22    0,00    0,00    0,00    0,00    0,00   83,96    0,00    0,00    0,00   16,04
12:43:46      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

12:43:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:43:47     all    0,17    0,00    0,04    0,08    0,00   16,02    0,00    0,00    0,00   83,69
12:43:47       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47       2    0,00    0,00    0,00    0,00    0,00   30,85    0,00    0,00    0,00   69,15
12:43:47       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47       4    0,00    0,00    0,99    0,00    0,00   34,65    0,00    0,00    0,00   64,36
12:43:47       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47       7    0,00    0,00    0,00    0,00    0,00   36,36    0,00    0,00    0,00   63,64
12:43:47       8    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
12:43:47       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47      10    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   99,00
12:43:47      11    0,00    0,00    0,00    0,00    0,00   37,14    0,00    0,00    0,00   62,86
12:43:47      12    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
12:43:47      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47      14    2,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   97,00
12:43:47      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47      17    0,00    0,00    0,00    0,00    0,00   73,08    0,00    0,00    0,00   26,92
12:43:47      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:47      21    0,00    0,00    0,00    0,00    0,00   80,77    0,00    0,00    0,00   19,23
12:43:47      22    0,00    0,00    0,00    0,00    0,00   83,02    0,00    0,00    0,00   16,98
12:43:47      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

12:43:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:43:48     all    0,25    0,00    0,04    0,00    0,00   16,02    0,00    0,00    0,00   83,69
12:43:48       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:48       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:48       2    0,00    0,00    0,00    0,00    0,00   33,33    0,00    0,00    0,00   66,67
12:43:48       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:48       4    0,00    0,00    0,00    0,00    0,00   32,99    0,00    0,00    0,00   67,01
12:43:48       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
12:43:48       6    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
