Time,Port,Metric,Value
2026-05-13 05:59:16.000,1,ipackets,2
2026-05-13 05:59:16.000,1,opackets,0
2026-05-13 05:59:16.000,1,rx_nombuf,0
2026-05-13 05:59:16.000,1,ierrors,0
2026-05-13 05:59:16.000,1,obytes,0
2026-05-13 05:59:16.000,1,oerrors,0
2026-05-13 05:59:16.000,1,ibytes,538
2026-05-13 05:59:16.000,1,imissed,0
2026-05-13 05:59:16.000,0,ipackets,0
2026-05-13 05:59:16.000,0,opackets,0
2026-05-13 05:59:16.000,0,rx_nombuf,0
2026-05-13 05:59:16.000,0,ierrors,0
2026-05-13 05:59:16.000,0,obytes,0
2026-05-13 05:59:16.000,0,oerrors,0
2026-05-13 05:59:16.000,0,ibytes,0
2026-05-13 05:59:16.000,0,imissed,0
2026-05-13 05:59:16.000,n,Value,2
2026-05-13 05:59:17.000,1,ipackets,2980656
2026-05-13 05:59:17.000,1,opackets,0
2026-05-13 05:59:17.000,1,rx_nombuf,0
2026-05-13 05:59:17.000,1,ierrors,0
2026-05-13 05:59:17.000,1,obytes,0
2026-05-13 05:59:17.000,1,oerrors,0
2026-05-13 05:59:17.000,1,ibytes,178839458
2026-05-13 05:59:17.000,1,imissed,0
2026-05-13 05:59:17.000,0,ipackets,0
2026-05-13 05:59:17.000,0,opackets,0
2026-05-13 05:59:17.000,0,rx_nombuf,0
2026-05-13 05:59:17.000,0,ierrors,0
2026-05-13 05:59:17.000,0,obytes,0
2026-05-13 05:59:17.000,0,oerrors,0
2026-05-13 05:59:17.000,0,ibytes,0
2026-05-13 05:59:17.000,0,imissed,0
2026-05-13 05:59:17.000,n,Value,2
2026-05-13 05:59:18.000,1,ipackets,8455154
2026-05-13 05:59:18.000,1,opackets,0
2026-05-13 05:59:18.000,1,rx_nombuf,0
2026-05-13 05:59:18.000,1,ierrors,0
2026-05-13 05:59:18.000,1,obytes,0
2026-05-13 05:59:18.000,1,oerrors,0
2026-05-13 05:59:18.000,1,ibytes,507309466
2026-05-13 05:59:18.000,1,imissed,0
2026-05-13 05:59:18.000,0,ipackets,1
2026-05-13 05:59:18.000,0,opackets,0
2026-05-13 05:59:18.000,0,rx_nombuf,0
2026-05-13 05:59:18.000,0,ierrors,0
2026-05-13 05:59:18.000,0,obytes,0
2026-05-13 05:59:18.000,0,oerrors,0
2026-05-13 05:59:18.000,0,ibytes,273
2026-05-13 05:59:18.000,0,imissed,0
2026-05-13 05:59:18.000,n,Value,2
2026-05-13 05:59:19.000,1,ipackets,14067506
2026-05-13 05:59:19.000,1,opackets,0
2026-05-13 05:59:19.000,1,rx_nombuf,0
2026-05-13 05:59:19.000,1,ierrors,0
2026-05-13 05:59:19.000,1,obytes,0
2026-05-13 05:59:19.000,1,oerrors,0
2026-05-13 05:59:19.000,1,ibytes,844050394
2026-05-13 05:59:19.000,1,imissed,0
2026-05-13 05:59:19.000,0,ipackets,1
2026-05-13 05:59:19.000,0,opackets,0
2026-05-13 05:59:19.000,0,rx_nombuf,0
2026-05-13 05:59:19.000,0,ierrors,0
2026-05-13 05:59:19.000,0,obytes,0
2026-05-13 05:59:19.000,0,oerrors,0
2026-05-13 05:59:19.000,0,ibytes,273
2026-05-13 05:59:19.000,0,imissed,0
2026-05-13 05:59:19.000,n,Value,2
2026-05-13 05:59:20.000,1,ipackets,19545291
2026-05-13 05:59:20.000,1,opackets,0
2026-05-13 05:59:20.000,1,rx_nombuf,0
2026-05-13 05:59:20.000,1,ierrors,0
2026-05-13 05:59:20.000,1,obytes,0
2026-05-13 05:59:20.000,1,oerrors,0
2026-05-13 05:59:20.000,1,ibytes,1172717878
2026-05-13 05:59:20.000,1,imissed,0
2026-05-13 05:59:20.000,0,ipackets,1
2026-05-13 05:59:20.000,0,opackets,0
2026-05-13 05:59:20.000,0,rx_nombuf,0
2026-05-13 05:59:20.000,0,ierrors,0
2026-05-13 05:59:20.000,0,obytes,0
2026-05-13 05:59:20.000,0,oerrors,0
2026-05-13 05:59:20.000,0,ibytes,273
2026-05-13 05:59:20.000,0,imissed,0
2026-05-13 05:59:20.000,n,Value,2
2026-05-13 05:59:21.000,1,ipackets,25157064
2026-05-13 05:59:21.000,1,opackets,0
2026-05-13 05:59:21.000,1,rx_nombuf,0
2026-05-13 05:59:21.000,1,ierrors,0
2026-05-13 05:59:21.000,1,obytes,0
2026-05-13 05:59:21.000,1,oerrors,0
2026-05-13 05:59:21.000,1,ibytes,1509424066
2026-05-13 05:59:21.000,1,imissed,0
2026-05-13 05:59:21.000,0,ipackets,1
2026-05-13 05:59:21.000,0,opackets,0
2026-05-13 05:59:21.000,0,rx_nombuf,0
2026-05-13 05:59:21.000,0,ierrors,0
2026-05-13 05:59:21.000,0,obytes,0
2026-05-13 05:59:21.000,0,oerrors,0
2026-05-13 05:59:21.000,0,ibytes,273
2026-05-13 05:59:21.000,0,imissed,0
2026-05-13 05:59:21.000,n,Value,2
2026-05-13 05:59:22.000,1,ipackets,30375262
2026-05-13 05:59:22.000,1,opackets,0
2026-05-13 05:59:22.000,1,rx_nombuf,0
2026-05-13 05:59:22.000,1,ierrors,0
2026-05-13 05:59:22.000,1,obytes,0
2026-05-13 05:59:22.000,1,oerrors,0
2026-05-13 05:59:22.000,1,ibytes,1822515946
2026-05-13 05:59:22.000,1,imissed,0
2026-05-13 05:59:22.000,0,ipackets,1
2026-05-13 05:59:22.000,0,opackets,0
2026-05-13 05:59:22.000,0,rx_nombuf,0
2026-05-13 05:59:22.000,0,ierrors,0
2026-05-13 05:59:22.000,0,obytes,0
2026-05-13 05:59:22.000,0,oerrors,0
2026-05-13 05:59:22.000,0,ibytes,273
2026-05-13 05:59:22.000,0,imissed,0
2026-05-13 05:59:22.000,n,Value,2
2026-05-13 05:59:24.000,1,ipackets,35896977
2026-05-13 05:59:24.000,1,opackets,0
2026-05-13 05:59:24.000,1,rx_nombuf,0
2026-05-13 05:59:24.000,1,ierrors,0
2026-05-13 05:59:24.000,1,obytes,0
2026-05-13 05:59:24.000,1,oerrors,0
2026-05-13 05:59:24.000,1,ibytes,2153818590
2026-05-13 05:59:24.000,1,imissed,0
2026-05-13 05:59:24.000,0,ipackets,1
2026-05-13 05:59:24.000,0,opackets,0
2026-05-13 05:59:24.000,0,rx_nombuf,0
2026-05-13 05:59:24.000,0,ierrors,0
2026-05-13 05:59:24.000,0,obytes,0
2026-05-13 05:59:24.000,0,oerrors,0
2026-05-13 05:59:24.000,0,ibytes,273
2026-05-13 05:59:24.000,0,imissed,0
2026-05-13 05:59:24.000,n,Value,2
2026-05-13 05:59:25.000,1,ipackets,41119355
2026-05-13 05:59:25.000,1,opackets,0
2026-05-13 05:59:25.000,1,rx_nombuf,0
2026-05-13 05:59:25.000,1,ierrors,0
2026-05-13 05:59:25.000,1,obytes,0
2026-05-13 05:59:25.000,1,oerrors,0
2026-05-13 05:59:25.000,1,ibytes,2467161526
2026-05-13 05:59:25.000,1,imissed,0
2026-05-13 05:59:25.000,0,ipackets,1
2026-05-13 05:59:25.000,0,opackets,0
2026-05-13 05:59:25.000,0,rx_nombuf,0
2026-05-13 05:59:25.000,0,ierrors,0
2026-05-13 05:59:25.000,0,obytes,0
2026-05-13 05:59:25.000,0,oerrors,0
2026-05-13 05:59:25.000,0,ibytes,273
2026-05-13 05:59:25.000,0,imissed,0
2026-05-13 05:59:25.000,n,Value,2
2026-05-13 05:59:26.000,1,ipackets,46629887
2026-05-13 05:59:26.000,1,opackets,0
2026-05-13 05:59:26.000,1,rx_nombuf,0
2026-05-13 05:59:26.000,1,ierrors,0
2026-05-13 05:59:26.000,1,obytes,0
2026-05-13 05:59:26.000,1,oerrors,0
2026-05-13 05:59:26.000,1,ibytes,2797793126
2026-05-13 05:59:26.000,1,imissed,0
2026-05-13 05:59:26.000,0,ipackets,1
2026-05-13 05:59:26.000,0,opackets,0
2026-05-13 05:59:26.000,0,rx_nombuf,0
2026-05-13 05:59:26.000,0,ierrors,0
2026-05-13 05:59:26.000,0,obytes,0
2026-05-13 05:59:26.000,0,oerrors,0
2026-05-13 05:59:26.000,0,ibytes,273
2026-05-13 05:59:26.000,0,imissed,0
2026-05-13 05:59:26.000,n,Value,2
2026-05-13 05:59:27.000,1,ipackets,51845791
2026-05-13 05:59:27.000,1,opackets,0
2026-05-13 05:59:27.000,1,rx_nombuf,0
2026-05-13 05:59:27.000,1,ierrors,0
2026-05-13 05:59:27.000,1,obytes,0
2026-05-13 05:59:27.000,1,oerrors,0
2026-05-13 05:59:27.000,1,ibytes,3110747302
2026-05-13 05:59:27.000,1,imissed,0
2026-05-13 05:59:27.000,0,ipackets,1
2026-05-13 05:59:27.000,0,opackets,0
2026-05-13 05:59:27.000,0,rx_nombuf,0
2026-05-13 05:59:27.000,0,ierrors,0
2026-05-13 05:59:27.000,0,obytes,0
2026-05-13 05:59:27.000,0,oerrors,0
2026-05-13 05:59:27.000,0,ibytes,273
2026-05-13 05:59:27.000,0,imissed,0
2026-05-13 05:59:27.000,n,Value,2
2026-05-13 05:59:28.000,1,ipackets,57372525
2026-05-13 05:59:28.000,1,opackets,0
2026-05-13 05:59:28.000,1,rx_nombuf,0
2026-05-13 05:59:28.000,1,ierrors,0
2026-05-13 05:59:28.000,1,obytes,0
2026-05-13 05:59:28.000,1,oerrors,0
2026-05-13 05:59:28.000,1,ibytes,3442351470
2026-05-13 05:59:28.000,1,imissed,0
2026-05-13 05:59:28.000,0,ipackets,3
2026-05-13 05:59:28.000,0,opackets,0
2026-05-13 05:59:28.000,0,rx_nombuf,0
2026-05-13 05:59:28.000,0,ierrors,0
2026-05-13 05:59:28.000,0,obytes,0
2026-05-13 05:59:28.000,0,oerrors,0
2026-05-13 05:59:28.000,0,ibytes,814
2026-05-13 05:59:28.000,0,imissed,0
2026-05-13 05:59:28.000,n,Value,2
2026-05-13 05:59:29.000,1,ipackets,62516933
2026-05-13 05:59:29.000,1,opackets,0
2026-05-13 05:59:29.000,1,rx_nombuf,0
2026-05-13 05:59:29.000,1,ierrors,0
2026-05-13 05:59:29.000,1,obytes,0
2026-05-13 05:59:29.000,1,oerrors,0
2026-05-13 05:59:29.000,1,ibytes,3751016014
2026-05-13 05:59:29.000,1,imissed,0
2026-05-13 05:59:29.000,0,ipackets,3
2026-05-13 05:59:29.000,0,opackets,0
2026-05-13 05:59:29.000,0,rx_nombuf,0
2026-05-13 05:59:29.000,0,ierrors,0
2026-05-13 05:59:29.000,0,obytes,0
2026-05-13 05:59:29.000,0,oerrors,0
2026-05-13 05:59:29.000,0,ibytes,814
2026-05-13 05:59:29.000,0,imissed,0
2026-05-13 05:59:29.000,n,Value,2
2026-05-13 05:59:30.000,1,ipackets,67969645
2026-05-13 05:59:30.000,1,opackets,0
2026-05-13 05:59:30.000,1,rx_nombuf,0
2026-05-13 05:59:30.000,1,ierrors,0
2026-05-13 05:59:30.000,1,obytes,0
2026-05-13 05:59:30.000,1,oerrors,0
2026-05-13 05:59:30.000,1,ibytes,4078178542
2026-05-13 05:59:30.000,1,imissed,0
2026-05-13 05:59:30.000,0,ipackets,3
2026-05-13 05:59:30.000,0,opackets,0
2026-05-13 05:59:30.000,0,rx_nombuf,0
2026-05-13 05:59:30.000,0,ierrors,0
2026-05-13 05:59:30.000,0,obytes,0
2026-05-13 05:59:30.000,0,oerrors,0
2026-05-13 05:59:30.000,0,ibytes,814
2026-05-13 05:59:30.000,0,imissed,0
2026-05-13 05:59:30.000,n,Value,2
2026-05-13 05:59:31.000,1,ipackets,73175884
2026-05-13 05:59:31.000,1,opackets,0
2026-05-13 05:59:31.000,1,rx_nombuf,0
2026-05-13 05:59:31.000,1,ierrors,0
2026-05-13 05:59:31.000,1,obytes,0
2026-05-13 05:59:31.000,1,oerrors,0
2026-05-13 05:59:31.000,1,ibytes,4390553010
2026-05-13 05:59:31.000,1,imissed,0
2026-05-13 05:59:31.000,0,ipackets,3
2026-05-13 05:59:31.000,0,opackets,0
2026-05-13 05:59:31.000,0,rx_nombuf,0
2026-05-13 05:59:31.000,0,ierrors,0
2026-05-13 05:59:31.000,0,obytes,0
2026-05-13 05:59:31.000,0,oerrors,0
2026-05-13 05:59:31.000,0,ibytes,814
2026-05-13 05:59:31.000,0,imissed,0
2026-05-13 05:59:31.000,n,Value,2
2026-05-13 05:59:32.000,1,ipackets,78295373
2026-05-13 05:59:32.000,1,opackets,0
2026-05-13 05:59:32.000,1,rx_nombuf,0
2026-05-13 05:59:32.000,1,ierrors,0
2026-05-13 05:59:32.000,1,obytes,0
2026-05-13 05:59:32.000,1,oerrors,0
2026-05-13 05:59:32.000,1,ibytes,4697722606
2026-05-13 05:59:32.000,1,imissed,0
2026-05-13 05:59:32.000,0,ipackets,3
2026-05-13 05:59:32.000,0,opackets,0
2026-05-13 05:59:32.000,0,rx_nombuf,0
2026-05-13 05:59:32.000,0,ierrors,0
2026-05-13 05:59:32.000,0,obytes,0
2026-05-13 05:59:32.000,0,oerrors,0
2026-05-13 05:59:32.000,0,ibytes,814
2026-05-13 05:59:32.000,0,imissed,0
2026-05-13 05:59:32.000,n,Value,2
2026-05-13 05:59:33.000,1,ipackets,83412443
2026-05-13 05:59:33.000,1,opackets,0
2026-05-13 05:59:33.000,1,rx_nombuf,0
2026-05-13 05:59:33.000,1,ierrors,0
2026-05-13 05:59:33.000,1,obytes,0
2026-05-13 05:59:33.000,1,oerrors,0
2026-05-13 05:59:33.000,1,ibytes,5004746614
2026-05-13 05:59:33.000,1,imissed,0
2026-05-13 05:59:33.000,0,ipackets,3
2026-05-13 05:59:33.000,0,opackets,0
2026-05-13 05:59:33.000,0,rx_nombuf,0
2026-05-13 05:59:33.000,0,ierrors,0
2026-05-13 05:59:33.000,0,obytes,0
2026-05-13 05:59:33.000,0,oerrors,0
2026-05-13 05:59:33.000,0,ibytes,814
2026-05-13 05:59:33.000,0,imissed,0
2026-05-13 05:59:33.000,n,Value,2
2026-05-13 05:59:34.000,1,ipackets,86248039
2026-05-13 05:59:34.000,1,opackets,0
2026-05-13 05:59:34.000,1,rx_nombuf,0
2026-05-13 05:59:34.000,1,ierrors,0
2026-05-13 05:59:34.000,1,obytes,0
2026-05-13 05:59:34.000,1,oerrors,0
2026-05-13 05:59:34.000,1,ibytes,5174882566
2026-05-13 05:59:34.000,1,imissed,0
2026-05-13 05:59:34.000,0,ipackets,3
2026-05-13 05:59:34.000,0,opackets,0
2026-05-13 05:59:34.000,0,rx_nombuf,0
2026-05-13 05:59:34.000,0,ierrors,0
2026-05-13 05:59:34.000,0,obytes,0
2026-05-13 05:59:34.000,0,oerrors,0
2026-05-13 05:59:34.000,0,ibytes,814
2026-05-13 05:59:34.000,0,imissed,0
2026-05-13 05:59:34.000,n,Value,2
2026-05-13 05:59:35.000,1,ipackets,91043056
2026-05-13 05:59:35.000,1,opackets,0
2026-05-13 05:59:35.000,1,rx_nombuf,0
2026-05-13 05:59:35.000,1,ierrors,0
2026-05-13 05:59:35.000,1,obytes,0
2026-05-13 05:59:35.000,1,oerrors,0
2026-05-13 05:59:35.000,1,ibytes,5462583522
2026-05-13 05:59:35.000,1,imissed,0
2026-05-13 05:59:35.000,0,ipackets,3
2026-05-13 05:59:35.000,0,opackets,0
2026-05-13 05:59:35.000,0,rx_nombuf,0
2026-05-13 05:59:35.000,0,ierrors,0
2026-05-13 05:59:35.000,0,obytes,0
2026-05-13 05:59:35.000,0,oerrors,0
2026-05-13 05:59:35.000,0,ibytes,814
2026-05-13 05:59:35.000,0,imissed,0
2026-05-13 05:59:35.000,n,Value,2
2026-05-13 05:59:36.000,1,ipackets,96392503
2026-05-13 05:59:36.000,1,opackets,0
2026-05-13 05:59:36.000,1,rx_nombuf,0
2026-05-13 05:59:36.000,1,ierrors,0
2026-05-13 05:59:36.000,1,obytes,0
2026-05-13 05:59:36.000,1,oerrors,0
2026-05-13 05:59:36.000,1,ibytes,5783550406
2026-05-13 05:59:36.000,1,imissed,0
2026-05-13 05:59:36.000,0,ipackets,3
2026-05-13 05:59:36.000,0,opackets,0
2026-05-13 05:59:36.000,0,rx_nombuf,0
2026-05-13 05:59:36.000,0,ierrors,0
2026-05-13 05:59:36.000,0,obytes,0
2026-05-13 05:59:36.000,0,oerrors,0
2026-05-13 05:59:36.000,0,ibytes,814
2026-05-13 05:59:36.000,0,imissed,0
2026-05-13 05:59:36.000,n,Value,2
2026-05-13 05:59:37.000,1,ipackets,101717488
2026-05-13 05:59:37.000,1,opackets,0
2026-05-13 05:59:37.000,1,rx_nombuf,0
2026-05-13 05:59:37.000,1,ierrors,0
2026-05-13 05:59:37.000,1,obytes,0
2026-05-13 05:59:37.000,1,oerrors,0
2026-05-13 05:59:37.000,1,ibytes,6103049442
2026-05-13 05:59:37.000,1,imissed,0
2026-05-13 05:59:37.000,0,ipackets,3
2026-05-13 05:59:37.000,0,opackets,0
2026-05-13 05:59:37.000,0,rx_nombuf,0
2026-05-13 05:59:37.000,0,ierrors,0
2026-05-13 05:59:37.000,0,obytes,0
2026-05-13 05:59:37.000,0,oerrors,0
2026-05-13 05:59:37.000,0,ibytes,814
2026-05-13 05:59:37.000,0,imissed,0
2026-05-13 05:59:37.000,n,Value,2
2026-05-13 05:59:38.000,1,ipackets,106321909
2026-05-13 05:59:38.000,1,opackets,0
2026-05-13 05:59:38.000,1,rx_nombuf,0
2026-05-13 05:59:38.000,1,ierrors,0
2026-05-13 05:59:38.000,1,obytes,0
2026-05-13 05:59:38.000,1,oerrors,0
2026-05-13 05:59:38.000,1,ibytes,6379314830
2026-05-13 05:59:38.000,1,imissed,0
2026-05-13 05:59:38.000,0,ipackets,3
2026-05-13 05:59:38.000,0,opackets,0
2026-05-13 05:59:38.000,0,rx_nombuf,0
2026-05-13 05:59:38.000,0,ierrors,0
2026-05-13 05:59:38.000,0,obytes,0
2026-05-13 05:59:38.000,0,oerrors,0
2026-05-13 05:59:38.000,0,ibytes,814
2026-05-13 05:59:38.000,0,imissed,0
