Time,Port,Metric,Value
2026-05-13 05:41:02.000,1,ierrors,0
2026-05-13 05:41:02.000,1,ipackets,3
2026-05-13 05:41:02.000,1,oerrors,0
2026-05-13 05:41:02.000,1,opackets,0
2026-05-13 05:41:02.000,1,imissed,0
2026-05-13 05:41:02.000,1,ibytes,810
2026-05-13 05:41:02.000,1,rx_nombuf,0
2026-05-13 05:41:02.000,1,obytes,0
2026-05-13 05:41:02.000,0,ierrors,0
2026-05-13 05:41:02.000,0,ipackets,3
2026-05-13 05:41:02.000,0,oerrors,0
2026-05-13 05:41:02.000,0,opackets,0
2026-05-13 05:41:02.000,0,imissed,0
2026-05-13 05:41:02.000,0,ibytes,814
2026-05-13 05:41:02.000,0,rx_nombuf,0
2026-05-13 05:41:02.000,0,obytes,0
2026-05-13 05:41:02.000,n,Value,2
2026-05-13 05:41:03.000,1,ierrors,0
2026-05-13 05:41:03.000,1,ipackets,2862130
2026-05-13 05:41:03.000,1,oerrors,0
2026-05-13 05:41:03.000,1,opackets,0
2026-05-13 05:41:03.000,1,imissed,0
2026-05-13 05:41:03.000,1,ibytes,171728110
2026-05-13 05:41:03.000,1,rx_nombuf,0
2026-05-13 05:41:03.000,1,obytes,0
2026-05-13 05:41:03.000,0,ierrors,0
2026-05-13 05:41:03.000,0,ipackets,3
2026-05-13 05:41:03.000,0,oerrors,0
2026-05-13 05:41:03.000,0,opackets,0
2026-05-13 05:41:03.000,0,imissed,0
2026-05-13 05:41:03.000,0,ibytes,814
2026-05-13 05:41:03.000,0,rx_nombuf,0
2026-05-13 05:41:03.000,0,obytes,0
2026-05-13 05:41:03.000,n,Value,2
2026-05-13 05:41:04.000,1,ierrors,0
2026-05-13 05:41:04.000,1,ipackets,8348138
2026-05-13 05:41:04.000,1,oerrors,0
2026-05-13 05:41:04.000,1,opackets,0
2026-05-13 05:41:04.000,1,imissed,0
2026-05-13 05:41:04.000,1,ibytes,500888398
2026-05-13 05:41:04.000,1,rx_nombuf,0
2026-05-13 05:41:04.000,1,obytes,0
2026-05-13 05:41:04.000,0,ierrors,0
2026-05-13 05:41:04.000,0,ipackets,3
2026-05-13 05:41:04.000,0,oerrors,0
2026-05-13 05:41:04.000,0,opackets,0
2026-05-13 05:41:04.000,0,imissed,0
2026-05-13 05:41:04.000,0,ibytes,814
2026-05-13 05:41:04.000,0,rx_nombuf,0
2026-05-13 05:41:04.000,0,obytes,0
2026-05-13 05:41:04.000,n,Value,2
2026-05-13 05:41:05.000,1,ierrors,0
2026-05-13 05:41:05.000,1,ipackets,13959557
2026-05-13 05:41:05.000,1,oerrors,0
2026-05-13 05:41:05.000,1,opackets,0
2026-05-13 05:41:05.000,1,imissed,0
2026-05-13 05:41:05.000,1,ibytes,837573666
2026-05-13 05:41:05.000,1,rx_nombuf,0
2026-05-13 05:41:05.000,1,obytes,0
2026-05-13 05:41:05.000,0,ierrors,0
2026-05-13 05:41:05.000,0,ipackets,3
2026-05-13 05:41:05.000,0,oerrors,0
2026-05-13 05:41:05.000,0,opackets,0
2026-05-13 05:41:05.000,0,imissed,0
2026-05-13 05:41:05.000,0,ibytes,814
2026-05-13 05:41:05.000,0,rx_nombuf,0
2026-05-13 05:41:05.000,0,obytes,0
2026-05-13 05:41:05.000,n,Value,2
2026-05-13 05:41:06.000,1,ierrors,0
2026-05-13 05:41:06.000,1,ipackets,19424979
2026-05-13 05:41:06.000,1,oerrors,0
2026-05-13 05:41:06.000,1,opackets,0
2026-05-13 05:41:06.000,1,imissed,0
2026-05-13 05:41:06.000,1,ibytes,1165499050
2026-05-13 05:41:06.000,1,rx_nombuf,0
2026-05-13 05:41:06.000,1,obytes,0
2026-05-13 05:41:06.000,0,ierrors,0
2026-05-13 05:41:06.000,0,ipackets,3
2026-05-13 05:41:06.000,0,oerrors,0
2026-05-13 05:41:06.000,0,opackets,0
2026-05-13 05:41:06.000,0,imissed,0
2026-05-13 05:41:06.000,0,ibytes,814
2026-05-13 05:41:06.000,0,rx_nombuf,0
2026-05-13 05:41:06.000,0,obytes,0
2026-05-13 05:41:06.000,n,Value,2
2026-05-13 05:41:07.000,1,ierrors,0
2026-05-13 05:41:07.000,1,ipackets,24966205
2026-05-13 05:41:07.000,1,oerrors,0
2026-05-13 05:41:07.000,1,opackets,0
2026-05-13 05:41:07.000,1,imissed,0
2026-05-13 05:41:07.000,1,ibytes,1497972546
2026-05-13 05:41:07.000,1,rx_nombuf,0
2026-05-13 05:41:07.000,1,obytes,0
2026-05-13 05:41:07.000,0,ierrors,0
2026-05-13 05:41:07.000,0,ipackets,3
2026-05-13 05:41:07.000,0,oerrors,0
2026-05-13 05:41:07.000,0,opackets,0
2026-05-13 05:41:07.000,0,imissed,0
2026-05-13 05:41:07.000,0,ibytes,814
2026-05-13 05:41:07.000,0,rx_nombuf,0
2026-05-13 05:41:07.000,0,obytes,0
2026-05-13 05:41:07.000,n,Value,2
2026-05-13 05:41:08.000,1,ierrors,0
2026-05-13 05:41:08.000,1,ipackets,30136415
2026-05-13 05:41:08.000,1,oerrors,0
2026-05-13 05:41:08.000,1,opackets,0
2026-05-13 05:41:08.000,1,imissed,0
2026-05-13 05:41:08.000,1,ibytes,1808185338
2026-05-13 05:41:08.000,1,rx_nombuf,0
2026-05-13 05:41:08.000,1,obytes,0
2026-05-13 05:41:08.000,0,ierrors,0
2026-05-13 05:41:08.000,0,ipackets,3
2026-05-13 05:41:08.000,0,oerrors,0
2026-05-13 05:41:08.000,0,opackets,0
2026-05-13 05:41:08.000,0,imissed,0
2026-05-13 05:41:08.000,0,ibytes,814
2026-05-13 05:41:08.000,0,rx_nombuf,0
2026-05-13 05:41:08.000,0,obytes,0
2026-05-13 05:41:08.000,n,Value,2
2026-05-13 05:41:09.000,1,ierrors,0
2026-05-13 05:41:09.000,1,ipackets,35663200
2026-05-13 05:41:09.000,1,oerrors,0
2026-05-13 05:41:09.000,1,opackets,0
2026-05-13 05:41:09.000,1,imissed,0
2026-05-13 05:41:09.000,1,ibytes,2139792374
2026-05-13 05:41:09.000,1,rx_nombuf,0
2026-05-13 05:41:09.000,1,obytes,0
