Time,Port,Metric,Value
2026-05-13 04:28:10.000,0,imissed,0
2026-05-13 04:28:10.000,0,oerrors,0
2026-05-13 04:28:10.000,0,ierrors,0
2026-05-13 04:28:10.000,0,opackets,0
2026-05-13 04:28:10.000,0,obytes,0
2026-05-13 04:28:10.000,0,ipackets,2
2026-05-13 04:28:10.000,0,ibytes,538
2026-05-13 04:28:10.000,0,rx_nombuf,0
2026-05-13 04:28:10.000,n,Value,1
2026-05-13 04:28:11.000,0,imissed,0
2026-05-13 04:28:11.000,0,oerrors,0
2026-05-13 04:28:11.000,0,ierrors,0
2026-05-13 04:28:11.000,0,opackets,0
2026-05-13 04:28:11.000,0,obytes,0
2026-05-13 04:28:11.000,0,ipackets,2
2026-05-13 04:28:11.000,0,ibytes,538
2026-05-13 04:28:11.000,0,rx_nombuf,0
2026-05-13 04:28:11.000,n,Value,1
2026-05-13 04:28:12.000,0,imissed,0
2026-05-13 04:28:12.000,0,oerrors,0
2026-05-13 04:28:12.000,0,ierrors,0
2026-05-13 04:28:12.000,0,opackets,0
2026-05-13 04:28:12.000,0,obytes,0
2026-05-13 04:28:12.000,0,ipackets,2
2026-05-13 04:28:12.000,0,ibytes,538
2026-05-13 04:28:12.000,0,rx_nombuf,0
2026-05-13 04:28:12.000,n,Value,1
2026-05-13 04:28:13.000,0,imissed,0
2026-05-13 04:28:13.000,0,oerrors,0
2026-05-13 04:28:13.000,0,ierrors,0
2026-05-13 04:28:13.000,0,opackets,0
2026-05-13 04:28:13.000,0,obytes,0
2026-05-13 04:28:13.000,0,ipackets,2
2026-05-13 04:28:13.000,0,ibytes,538
2026-05-13 04:28:13.000,0,rx_nombuf,0
2026-05-13 04:28:13.000,n,Value,1
2026-05-13 04:28:14.000,0,imissed,0
2026-05-13 04:28:14.000,0,oerrors,0
2026-05-13 04:28:14.000,0,ierrors,0
2026-05-13 04:28:14.000,0,opackets,0
2026-05-13 04:28:14.000,0,obytes,0
2026-05-13 04:28:14.000,0,ipackets,2
2026-05-13 04:28:14.000,0,ibytes,538
2026-05-13 04:28:14.000,0,rx_nombuf,0
2026-05-13 04:28:14.000,n,Value,1
2026-05-13 04:28:15.000,0,imissed,0
2026-05-13 04:28:15.000,0,oerrors,0
2026-05-13 04:28:15.000,0,ierrors,0
