Linux 6.8.0-111-generic (testbed-node6) 	13/05/26 	_x86_64_	(24 CPU)

05:24:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:24:04     all    4,71    0,00    0,21    0,04    0,00    0,00    0,00    0,00    0,00   95,04
05:24:04       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04       1  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
05:24:04       2    4,95    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   94,06
05:24:04       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04       8    4,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
05:24:04       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04      12    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
05:24:04      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04      14    0,00    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00   98,99
05:24:04      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04      16    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
05:24:04      17    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
05:24:04      18    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
05:24:04      19    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
05:24:04      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04      21    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04      22    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:04      23    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00

05:24:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:24:05     all    4,17    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   95,83
05:24:05       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05       1  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
05:24:05       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      17    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      21    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      22    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:05      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

05:24:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:24:06     all    5,13    0,00    0,46    0,13    0,00    0,00    0,00    0,00    0,00   94,28
05:24:06       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:06       1  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
05:24:06       2    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
05:24:06       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:06       4    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
05:24:06       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:06       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:06       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:06       8    7,07    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   92,93
05:24:06       9    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
05:24:06      10    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
05:24:06      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:06      12    1,98    0,00    1,98    0,99    0,00    0,00    0,00    0,00    0,00   95,05
05:24:06      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:06      14    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
05:24:06      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:06      16    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
05:24:06      17    1,98    0,00    0,99    1,98    0,00    0,00    0,00    0,00    0,00   95,05
05:24:06      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:06      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:06      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:06      21    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
05:24:06      22    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
05:24:06      23    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98

05:24:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:24:07     all    4,34    0,00    0,17    0,00    0,00    0,00    0,00    0,00    0,00   95,50
05:24:07       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07       1  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
05:24:07       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07      17    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
05:24:07      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:07      19    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
05:24:07      20    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
05:24:07      21    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
05:24:07      22    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
05:24:07      23    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00

05:24:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:24:08     all    4,25    0,00    0,04    0,00    0,00    0,00    0,00    0,00    0,00   95,71
05:24:08       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
05:24:08       1  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
