Time,Port,Metric,Value
2026-05-13 04:46:59.000,0,ibytes,810
2026-05-13 04:46:59.000,0,imissed,0
2026-05-13 04:46:59.000,0,obytes,256318604
2026-05-13 04:46:59.000,0,opackets,4272013
2026-05-13 04:46:59.000,0,rx_nombuf,0
2026-05-13 04:46:59.000,0,ipackets,3
2026-05-13 04:46:59.000,0,oerrors,12
2026-05-13 04:46:59.000,0,ierrors,0
2026-05-13 04:46:59.000,n,Value,1
2026-05-13 04:47:00.000,0,ibytes,810
2026-05-13 04:47:00.000,0,imissed,0
2026-05-13 04:47:00.000,0,obytes,2488312116
2026-05-13 04:47:00.000,0,opackets,41471907
2026-05-13 04:47:00.000,0,rx_nombuf,0
2026-05-13 04:47:00.000,0,ipackets,3
2026-05-13 04:47:00.000,0,oerrors,112
2026-05-13 04:47:00.000,0,ierrors,0
2026-05-13 04:47:00.000,n,Value,1
2026-05-13 04:47:01.000,0,ibytes,810
2026-05-13 04:47:01.000,0,imissed,0
2026-05-13 04:47:01.000,0,obytes,4719803924
2026-05-13 04:47:01.000,0,opackets,78663435
2026-05-13 04:47:01.000,0,rx_nombuf,0
2026-05-13 04:47:01.000,0,ipackets,3
2026-05-13 04:47:01.000,0,oerrors,212
2026-05-13 04:47:01.000,0,ierrors,0
2026-05-13 04:47:01.000,n,Value,1
2026-05-13 04:47:02.000,0,ibytes,810
2026-05-13 04:47:02.000,0,imissed,0
2026-05-13 04:47:02.000,0,obytes,6951205124
2026-05-13 04:47:02.000,0,opackets,115853455
2026-05-13 04:47:02.000,0,rx_nombuf,0
2026-05-13 04:47:02.000,0,ipackets,3
2026-05-13 04:47:02.000,0,oerrors,312
2026-05-13 04:47:02.000,0,ierrors,0
2026-05-13 04:47:02.000,n,Value,1
2026-05-13 04:47:03.000,0,ibytes,810
2026-05-13 04:47:03.000,0,imissed,0
2026-05-13 04:47:03.000,0,obytes,9181178064
2026-05-13 04:47:03.000,0,opackets,153019676
2026-05-13 04:47:03.000,0,rx_nombuf,0
2026-05-13 04:47:03.000,0,ipackets,3
2026-05-13 04:47:03.000,0,oerrors,412
2026-05-13 04:47:03.000,0,ierrors,0
2026-05-13 04:47:03.000,n,Value,1
2026-05-13 04:47:04.000,0,ibytes,810
2026-05-13 04:47:04.000,0,imissed,0
2026-05-13 04:47:04.000,0,obytes,11411706820
2026-05-13 04:47:04.000,0,opackets,190195151
2026-05-13 04:47:04.000,0,rx_nombuf,0
2026-05-13 04:47:04.000,0,ipackets,3
2026-05-13 04:47:04.000,0,oerrors,512
2026-05-13 04:47:04.000,0,ierrors,0
2026-05-13 04:47:04.000,n,Value,1
2026-05-13 04:47:05.000,0,ibytes,810
2026-05-13 04:47:05.000,0,imissed,0
2026-05-13 04:47:05.000,0,obytes,13640628884
2026-05-13 04:47:05.000,0,opackets,227343851
2026-05-13 04:47:05.000,0,rx_nombuf,0
2026-05-13 04:47:05.000,0,ipackets,3
2026-05-13 04:47:05.000,0,oerrors,612
2026-05-13 04:47:05.000,0,ierrors,0
2026-05-13 04:47:05.000,n,Value,1
2026-05-13 04:47:06.000,0,ibytes,810
2026-05-13 04:47:06.000,0,imissed,0
2026-05-13 04:47:06.000,0,obytes,15870833140
2026-05-13 04:47:06.000,0,opackets,264513923
2026-05-13 04:47:06.000,0,rx_nombuf,0
2026-05-13 04:47:06.000,0,ipackets,3
2026-05-13 04:47:06.000,0,oerrors,712
2026-05-13 04:47:06.000,0,ierrors,0
2026-05-13 04:47:06.000,n,Value,1
2026-05-13 04:47:07.000,0,ibytes,810
2026-05-13 04:47:07.000,0,imissed,0
2026-05-13 04:47:07.000,0,obytes,18095003200
2026-05-13 04:47:07.000,0,opackets,301583424
2026-05-13 04:47:07.000,0,rx_nombuf,0
2026-05-13 04:47:07.000,0,ipackets,3
2026-05-13 04:47:07.000,0,oerrors,812
2026-05-13 04:47:07.000,0,ierrors,0
2026-05-13 04:47:07.000,n,Value,1
2026-05-13 04:47:08.000,0,ibytes,810
2026-05-13 04:47:08.000,0,imissed,0
2026-05-13 04:47:08.000,0,obytes,20323747904
2026-05-13 04:47:08.000,0,opackets,338729168
2026-05-13 04:47:08.000,0,rx_nombuf,0
2026-05-13 04:47:08.000,0,ipackets,3
2026-05-13 04:47:08.000,0,oerrors,912
2026-05-13 04:47:08.000,0,ierrors,0
2026-05-13 04:47:08.000,n,Value,1
2026-05-13 04:47:09.000,0,ibytes,810
2026-05-13 04:47:09.000,0,imissed,0
2026-05-13 04:47:09.000,0,obytes,22546063728
2026-05-13 04:47:09.000,0,opackets,375767764
2026-05-13 04:47:09.000,0,rx_nombuf,0
2026-05-13 04:47:09.000,0,ipackets,3
2026-05-13 04:47:09.000,0,oerrors,1012
2026-05-13 04:47:09.000,0,ierrors,0
2026-05-13 04:47:09.000,n,Value,1
2026-05-13 04:47:10.000,0,ibytes,810
2026-05-13 04:47:10.000,0,imissed,0
2026-05-13 04:47:10.000,0,obytes,24774011016
2026-05-13 04:47:10.000,0,opackets,412900222
2026-05-13 04:47:10.000,0,rx_nombuf,0
2026-05-13 04:47:10.000,0,ipackets,3
2026-05-13 04:47:10.000,0,oerrors,1112
2026-05-13 04:47:10.000,0,ierrors,0
2026-05-13 04:47:10.000,n,Value,1
2026-05-13 04:47:11.000,0,ibytes,810
2026-05-13 04:47:11.000,0,imissed,0
2026-05-13 04:47:11.000,0,obytes,26997684100
2026-05-13 04:47:11.000,0,opackets,449961439
2026-05-13 04:47:11.000,0,rx_nombuf,0
2026-05-13 04:47:11.000,0,ipackets,3
2026-05-13 04:47:11.000,0,oerrors,1212
2026-05-13 04:47:11.000,0,ierrors,0
2026-05-13 04:47:11.000,n,Value,1
2026-05-13 04:47:12.000,0,ibytes,810
2026-05-13 04:47:12.000,0,imissed,0
2026-05-13 04:47:12.000,0,obytes,29226330152
2026-05-13 04:47:12.000,0,opackets,487105542
2026-05-13 04:47:12.000,0,rx_nombuf,0
2026-05-13 04:47:12.000,0,ipackets,3
2026-05-13 04:47:12.000,0,oerrors,1312
2026-05-13 04:47:12.000,0,ierrors,0
2026-05-13 04:47:12.000,n,Value,1
2026-05-13 04:47:13.000,0,ibytes,810
2026-05-13 04:47:13.000,0,imissed,0
2026-05-13 04:47:13.000,0,obytes,31455242564
2026-05-13 04:47:13.000,0,opackets,524254079
2026-05-13 04:47:13.000,0,rx_nombuf,0
2026-05-13 04:47:13.000,0,ipackets,3
2026-05-13 04:47:13.000,0,oerrors,1412
2026-05-13 04:47:13.000,0,ierrors,0
2026-05-13 04:47:13.000,n,Value,1
2026-05-13 04:47:14.000,0,ibytes,810
2026-05-13 04:47:14.000,0,imissed,0
2026-05-13 04:47:14.000,0,obytes,33683438860
2026-05-13 04:47:14.000,0,opackets,561390685
2026-05-13 04:47:14.000,0,rx_nombuf,0
2026-05-13 04:47:14.000,0,ipackets,3
2026-05-13 04:47:14.000,0,oerrors,1512
2026-05-13 04:47:14.000,0,ierrors,0
2026-05-13 04:47:14.000,n,Value,1
2026-05-13 04:47:15.000,0,ibytes,810
2026-05-13 04:47:15.000,0,imissed,0
2026-05-13 04:47:15.000,0,obytes,35901893008
2026-05-13 04:47:15.000,0,opackets,598364924
2026-05-13 04:47:15.000,0,rx_nombuf,0
2026-05-13 04:47:15.000,0,ipackets,3
2026-05-13 04:47:15.000,0,oerrors,1612
2026-05-13 04:47:15.000,0,ierrors,0
2026-05-13 04:47:15.000,n,Value,1
2026-05-13 04:47:16.000,0,ibytes,810
2026-05-13 04:47:16.000,0,imissed,0
2026-05-13 04:47:16.000,0,obytes,38131080944
2026-05-13 04:47:16.000,0,opackets,635518052
2026-05-13 04:47:16.000,0,rx_nombuf,0
2026-05-13 04:47:16.000,0,ipackets,3
2026-05-13 04:47:16.000,0,oerrors,1712
2026-05-13 04:47:16.000,0,ierrors,0
2026-05-13 04:47:16.000,n,Value,1
2026-05-13 04:47:17.000,0,ibytes,810
2026-05-13 04:47:17.000,0,imissed,0
2026-05-13 04:47:17.000,0,obytes,40349309204
2026-05-13 04:47:17.000,0,opackets,672488523
2026-05-13 04:47:17.000,0,rx_nombuf,0
2026-05-13 04:47:17.000,0,ipackets,3
2026-05-13 04:47:17.000,0,oerrors,1812
2026-05-13 04:47:17.000,0,ierrors,0
2026-05-13 04:47:17.000,n,Value,1
2026-05-13 04:47:18.000,0,ibytes,810
2026-05-13 04:47:18.000,0,imissed,0
2026-05-13 04:47:18.000,0,obytes,42576605564
2026-05-13 04:47:18.000,0,opackets,709610129
2026-05-13 04:47:18.000,0,rx_nombuf,0
2026-05-13 04:47:18.000,0,ipackets,3
2026-05-13 04:47:18.000,0,oerrors,1912
2026-05-13 04:47:18.000,0,ierrors,0
2026-05-13 04:47:18.000,n,Value,1
2026-05-13 04:47:19.000,0,ibytes,810
2026-05-13 04:47:19.000,0,imissed,0
2026-05-13 04:47:19.000,0,obytes,44801677532
2026-05-13 04:47:19.000,0,opackets,746694665
2026-05-13 04:47:19.000,0,rx_nombuf,0
2026-05-13 04:47:19.000,0,ipackets,3
2026-05-13 04:47:19.000,0,oerrors,2012
2026-05-13 04:47:19.000,0,ierrors,0
2026-05-13 04:47:19.000,n,Value,1
2026-05-13 04:47:20.000,0,ibytes,810
2026-05-13 04:47:20.000,0,imissed,0
2026-05-13 04:47:20.000,0,obytes,47031003932
2026-05-13 04:47:20.000,0,opackets,783850105
2026-05-13 04:47:20.000,0,rx_nombuf,0
2026-05-13 04:47:20.000,0,ipackets,3
2026-05-13 04:47:20.000,0,oerrors,2112
2026-05-13 04:47:20.000,0,ierrors,0
2026-05-13 04:47:20.000,n,Value,1
2026-05-13 04:47:21.000,0,ibytes,810
2026-05-13 04:47:21.000,0,imissed,0
2026-05-13 04:47:21.000,0,obytes,49253413784
2026-05-13 04:47:21.000,0,opackets,820890266
2026-05-13 04:47:21.000,0,rx_nombuf,0
2026-05-13 04:47:21.000,0,ipackets,3
2026-05-13 04:47:21.000,0,oerrors,2212
2026-05-13 04:47:21.000,0,ierrors,0
2026-05-13 04:47:21.000,n,Value,1
2026-05-13 04:47:22.000,0,ibytes,1082
2026-05-13 04:47:22.000,0,imissed,0
2026-05-13 04:47:22.000,0,obytes,51483886784
2026-05-13 04:47:22.000,0,opackets,858064816
2026-05-13 04:47:22.000,0,rx_nombuf,0
2026-05-13 04:47:22.000,0,ipackets,4
2026-05-13 04:47:22.000,0,oerrors,2312
2026-05-13 04:47:22.000,0,ierrors,0
2026-05-13 04:47:22.000,n,Value,1
2026-05-13 04:47:23.000,0,ibytes,1082
2026-05-13 04:47:23.000,0,imissed,0
2026-05-13 04:47:23.000,0,obytes,53699548124
2026-05-13 04:47:23.000,0,opackets,894992505
2026-05-13 04:47:23.000,0,rx_nombuf,0
2026-05-13 04:47:23.000,0,ipackets,4
2026-05-13 04:47:23.000,0,oerrors,2412
2026-05-13 04:47:23.000,0,ierrors,0
2026-05-13 04:47:23.000,n,Value,1
2026-05-13 04:47:24.000,0,ibytes,1082
2026-05-13 04:47:24.000,0,imissed,0
2026-05-13 04:47:24.000,0,obytes,55929680556
2026-05-13 04:47:24.000,0,opackets,932161381
2026-05-13 04:47:24.000,0,rx_nombuf,0
2026-05-13 04:47:24.000,0,ipackets,4
2026-05-13 04:47:24.000,0,oerrors,2512
2026-05-13 04:47:24.000,0,ierrors,0
2026-05-13 04:47:24.000,n,Value,1
