Time,Port,Metric,Value
2026-05-13 04:19:26.000,0,imissed,0
2026-05-13 04:19:26.000,0,ipackets,3
2026-05-13 04:19:26.000,0,rx_nombuf,0
2026-05-13 04:19:26.000,0,opackets,0
2026-05-13 04:19:26.000,0,oerrors,0
2026-05-13 04:19:26.000,0,obytes,0
2026-05-13 04:19:26.000,0,ierrors,0
2026-05-13 04:19:26.000,0,ibytes,871
2026-05-13 04:19:26.000,n,Value,1
2026-05-13 04:19:27.000,0,imissed,0
2026-05-13 04:19:27.000,0,ipackets,3
2026-05-13 04:19:27.000,0,rx_nombuf,0
2026-05-13 04:19:27.000,0,opackets,29970797
2026-05-13 04:19:27.000,0,oerrors,81
2026-05-13 04:19:27.000,0,obytes,1798245644
2026-05-13 04:19:27.000,0,ierrors,0
2026-05-13 04:19:27.000,0,ibytes,871
2026-05-13 04:19:27.000,n,Value,1
2026-05-13 04:19:28.000,0,imissed,0
2026-05-13 04:19:28.000,0,ipackets,3
2026-05-13 04:19:28.000,0,rx_nombuf,0
2026-05-13 04:19:28.000,0,opackets,67173973
2026-05-13 04:19:28.000,0,oerrors,181
2026-05-13 04:19:28.000,0,obytes,4030436140
2026-05-13 04:19:28.000,0,ierrors,0
2026-05-13 04:19:28.000,0,ibytes,871
2026-05-13 04:19:28.000,n,Value,1
2026-05-13 04:19:29.000,0,imissed,0
2026-05-13 04:19:29.000,0,ipackets,3
2026-05-13 04:19:29.000,0,rx_nombuf,0
2026-05-13 04:19:29.000,0,opackets,104377165
2026-05-13 04:19:29.000,0,oerrors,281
2026-05-13 04:19:29.000,0,obytes,6262627724
2026-05-13 04:19:29.000,0,ierrors,0
2026-05-13 04:19:29.000,0,ibytes,871
2026-05-13 04:19:29.000,n,Value,1
2026-05-13 04:19:30.000,0,imissed,0
2026-05-13 04:19:30.000,0,ipackets,3
2026-05-13 04:19:30.000,0,rx_nombuf,0
2026-05-13 04:19:30.000,0,opackets,141580355
2026-05-13 04:19:30.000,0,oerrors,381
2026-05-13 04:19:30.000,0,obytes,8494819124
2026-05-13 04:19:30.000,0,ierrors,0
2026-05-13 04:19:30.000,0,ibytes,871
2026-05-13 04:19:30.000,n,Value,1
2026-05-13 04:19:31.000,0,imissed,0
2026-05-13 04:19:31.000,0,ipackets,3
2026-05-13 04:19:31.000,0,rx_nombuf,0
2026-05-13 04:19:31.000,0,opackets,178783545
2026-05-13 04:19:31.000,0,oerrors,481
2026-05-13 04:19:31.000,0,obytes,10727010524
2026-05-13 04:19:31.000,0,ierrors,0
2026-05-13 04:19:31.000,0,ibytes,871
2026-05-13 04:19:31.000,n,Value,1
2026-05-13 04:19:32.000,0,imissed,0
2026-05-13 04:19:32.000,0,ipackets,3
2026-05-13 04:19:32.000,0,rx_nombuf,0
2026-05-13 04:19:32.000,0,opackets,215986730
2026-05-13 04:19:32.000,0,oerrors,581
2026-05-13 04:19:32.000,0,obytes,12959201560
2026-05-13 04:19:32.000,0,ierrors,0
2026-05-13 04:19:32.000,0,ibytes,871
2026-05-13 04:19:32.000,n,Value,1
2026-05-13 04:19:33.000,0,imissed,0
2026-05-13 04:19:33.000,0,ipackets,3
2026-05-13 04:19:33.000,0,rx_nombuf,0
2026-05-13 04:19:33.000,0,opackets,253189926
2026-05-13 04:19:33.000,0,oerrors,681
2026-05-13 04:19:33.000,0,obytes,15191393192
2026-05-13 04:19:33.000,0,ierrors,0
2026-05-13 04:19:33.000,0,ibytes,871
2026-05-13 04:19:33.000,n,Value,1
2026-05-13 04:19:35.000,0,imissed,0
2026-05-13 04:19:35.000,0,ipackets,3
2026-05-13 04:19:35.000,0,rx_nombuf,0
2026-05-13 04:19:35.000,0,opackets,290393111
2026-05-13 04:19:35.000,0,oerrors,781
2026-05-13 04:19:35.000,0,obytes,17423584484
2026-05-13 04:19:35.000,0,ierrors,0
2026-05-13 04:19:35.000,0,ibytes,871
2026-05-13 04:19:35.000,n,Value,1
2026-05-13 04:19:36.000,0,imissed,0
2026-05-13 04:19:36.000,0,ipackets,3
2026-05-13 04:19:36.000,0,rx_nombuf,0
