Time,Port,Metric,Value
2026-05-13 04:46:08.000,0,imissed,0
2026-05-13 04:46:08.000,0,ibytes,871
2026-05-13 04:46:08.000,0,rx_nombuf,0
2026-05-13 04:46:08.000,0,obytes,0
2026-05-13 04:46:08.000,0,oerrors,0
2026-05-13 04:46:08.000,0,ipackets,3
2026-05-13 04:46:08.000,0,ierrors,0
2026-05-13 04:46:08.000,0,opackets,0
2026-05-13 04:46:08.000,n,Value,1
2026-05-13 04:46:09.000,0,imissed,0
2026-05-13 04:46:09.000,0,ibytes,871
2026-05-13 04:46:09.000,0,rx_nombuf,0
2026-05-13 04:46:09.000,0,obytes,1894820320
2026-05-13 04:46:09.000,0,oerrors,85
2026-05-13 04:46:09.000,0,ipackets,3
2026-05-13 04:46:09.000,0,ierrors,0
2026-05-13 04:46:09.000,0,opackets,31580376
2026-05-13 04:46:09.000,n,Value,1
2026-05-13 04:46:10.000,0,imissed,0
2026-05-13 04:46:10.000,0,ibytes,871
2026-05-13 04:46:10.000,0,rx_nombuf,0
2026-05-13 04:46:10.000,0,obytes,4127012196
2026-05-13 04:46:10.000,0,oerrors,185
2026-05-13 04:46:10.000,0,ipackets,3
2026-05-13 04:46:10.000,0,ierrors,0
2026-05-13 04:46:10.000,0,opackets,68783575
2026-05-13 04:46:10.000,n,Value,1
2026-05-13 04:46:11.000,0,imissed,0
2026-05-13 04:46:11.000,0,ibytes,871
2026-05-13 04:46:11.000,0,rx_nombuf,0
2026-05-13 04:46:11.000,0,obytes,6359205104
2026-05-13 04:46:11.000,0,oerrors,285
2026-05-13 04:46:11.000,0,ipackets,3
2026-05-13 04:46:11.000,0,ierrors,0
2026-05-13 04:46:11.000,0,opackets,105986788
2026-05-13 04:46:11.000,n,Value,1
2026-05-13 04:46:12.000,0,imissed,0
2026-05-13 04:46:12.000,0,ibytes,871
2026-05-13 04:46:12.000,0,rx_nombuf,0
2026-05-13 04:46:12.000,0,obytes,8591397760
2026-05-13 04:46:12.000,0,oerrors,385
2026-05-13 04:46:12.000,0,ipackets,3
2026-05-13 04:46:12.000,0,ierrors,0
2026-05-13 04:46:12.000,0,opackets,143190000
2026-05-13 04:46:12.000,n,Value,1
2026-05-13 04:46:13.000,0,imissed,0
2026-05-13 04:46:13.000,0,ibytes,871
2026-05-13 04:46:13.000,0,rx_nombuf,0
2026-05-13 04:46:13.000,0,obytes,10823590968
2026-05-13 04:46:13.000,0,oerrors,485
2026-05-13 04:46:13.000,0,ipackets,3
2026-05-13 04:46:13.000,0,ierrors,0
2026-05-13 04:46:13.000,0,opackets,180393218
2026-05-13 04:46:13.000,n,Value,1
2026-05-13 04:46:14.000,0,imissed,0
2026-05-13 04:46:14.000,0,ibytes,871
2026-05-13 04:46:14.000,0,rx_nombuf,0
2026-05-13 04:46:14.000,0,obytes,13055783748
2026-05-13 04:46:14.000,0,oerrors,585
2026-05-13 04:46:14.000,0,ipackets,3
2026-05-13 04:46:14.000,0,ierrors,0
2026-05-13 04:46:14.000,0,opackets,217596431
2026-05-13 04:46:14.000,n,Value,1
2026-05-13 04:46:15.000,0,imissed,0
2026-05-13 04:46:15.000,0,ibytes,871
2026-05-13 04:46:15.000,0,rx_nombuf,0
2026-05-13 04:46:15.000,0,obytes,15287976404
2026-05-13 04:46:15.000,0,oerrors,685
2026-05-13 04:46:15.000,0,ipackets,3
2026-05-13 04:46:15.000,0,ierrors,0
2026-05-13 04:46:15.000,0,opackets,254799643
2026-05-13 04:46:15.000,n,Value,1
2026-05-13 04:46:16.000,0,imissed,0
2026-05-13 04:46:16.000,0,ibytes,871
2026-05-13 04:46:16.000,0,rx_nombuf,0
2026-05-13 04:46:16.000,0,obytes,17520169060
2026-05-13 04:46:16.000,0,oerrors,785
2026-05-13 04:46:16.000,0,ipackets,3
2026-05-13 04:46:16.000,0,ierrors,0
2026-05-13 04:46:16.000,0,opackets,292002855
2026-05-13 04:46:16.000,n,Value,1
2026-05-13 04:46:17.000,0,imissed,0
2026-05-13 04:46:17.000,0,ibytes,871
2026-05-13 04:46:17.000,0,rx_nombuf,0
2026-05-13 04:46:17.000,0,obytes,19752362504
2026-05-13 04:46:17.000,0,oerrors,885
2026-05-13 04:46:17.000,0,ipackets,3
2026-05-13 04:46:17.000,0,ierrors,0
2026-05-13 04:46:17.000,0,opackets,329206078
2026-05-13 04:46:17.000,n,Value,1
2026-05-13 04:46:18.000,0,imissed,0
2026-05-13 04:46:18.000,0,ibytes,871
2026-05-13 04:46:18.000,0,rx_nombuf,0
2026-05-13 04:46:18.000,0,obytes,21984556184
2026-05-13 04:46:18.000,0,oerrors,985
2026-05-13 04:46:18.000,0,ipackets,3
2026-05-13 04:46:18.000,0,ierrors,0
2026-05-13 04:46:18.000,0,opackets,366409306
2026-05-13 04:46:18.000,n,Value,1
2026-05-13 04:46:19.000,0,imissed,0
2026-05-13 04:46:19.000,0,ibytes,871
2026-05-13 04:46:19.000,0,rx_nombuf,0
