Linux 6.8.0-110-generic (testbed-node1) 	13/05/26 	_x86_64_	(24 CPU)

13:27:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:27:41     all   64,16    0,00    0,71    0,00    0,00    0,00    0,00    0,00    0,00   35,13
13:27:41       0  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41       1  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41       3  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41       5  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41       6  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41       7  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41       8  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41       9  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41      10  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41      11  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41      12  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41      13    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
13:27:41      14  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41      15    2,04    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   96,94
13:27:41      16    8,08    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   89,90
13:27:41      17    6,00    0,00    8,00    0,00    0,00    0,00    0,00    0,00    0,00   86,00
13:27:41      18    8,08    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   89,90
13:27:41      19    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
13:27:41      20    3,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
13:27:41      21  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
13:27:41      22    1,98    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   97,03
