Linux 6.8.0-111-generic (testbed-node6) 	13/05/26 	_x86_64_	(24 CPU)

02:17:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:17:10     all   93,88    0,00    0,29    0,00    0,00    0,00    0,00    0,00    0,00    5,83
02:17:10       0   24,24    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   72,73
02:17:10       1   31,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   68,00
02:17:10       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10       3  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10       5  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10       6  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10       7  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10       8   99,01    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10       9  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      10  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      11  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      12  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      13  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      14   99,01    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      15  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      16  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      17  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      18   99,01    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      19  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      20  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      21  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      22  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:10      23  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00

02:17:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:17:11     all   92,54    0,00    0,08    0,00    0,00    0,00    0,00    0,00    0,00    7,38
02:17:11       0   13,13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   86,87
02:17:11       1    8,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   91,00
02:17:11       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11       3   99,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11       5  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11       6  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11       7  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11       8  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11       9  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      10  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      11  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      12  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      13  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      14  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      15  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      16  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      17  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      18  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      19  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      20  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      21  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      22  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:11      23  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00

02:17:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:17:12     all   93,99    0,00    0,92    0,04    0,00    0,04    0,00    0,00    0,00    5,01
02:17:12       0   30,30    0,00    6,06    0,00    0,00    0,00    0,00    0,00    0,00   63,64
02:17:12       1   32,32    0,00    9,09    1,01    0,00    0,00    0,00    0,00    0,00   57,58
02:17:12       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12       3   98,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12       5  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12       6  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12       7  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12       8   96,97    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12       9   99,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      10  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      11  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      12  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      13  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      14  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      15  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      16  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      17   98,02    0,00    0,99    0,00    0,00    0,99    0,00    0,00    0,00    0,00
02:17:12      18  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      19  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      20  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      21  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      22  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:12      23  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00

02:17:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:17:13     all   92,50    0,00    0,08    0,00    0,00    0,00    0,00    0,00    0,00    7,42
02:17:13       0   13,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   87,00
02:17:13       1    8,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   91,00
02:17:13       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13       3  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13       5  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13       6  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13       7  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13       8   99,01    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13       9  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      10  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      11  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      12  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      13  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      14  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      15  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      16  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      17  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      18  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      19  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      20  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      21  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      22  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:13      23  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00

02:17:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:17:14     all   92,50    0,00    0,17    0,00    0,00    0,00    0,00    0,00    0,00    7,34
02:17:14       0   17,17    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   81,82
02:17:14       1    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
02:17:14       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14       3  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14       5  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14       6  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14       7  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14       8  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14       9  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      10  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      11  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      12  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      13   99,01    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      14  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      15  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      16  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      17  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      18  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      19  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      20  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      21  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      22   99,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:14      23  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00

02:17:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:17:15     all   92,13    0,00    0,12    0,00    0,00    0,00    0,00    0,00    0,00    7,75
02:17:15       0    8,08    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   91,92
02:17:15       1    4,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
02:17:15       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15       3  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15       5  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15       6  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15       7  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15       8  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15       9  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      10   99,01    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      11  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      12  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      13  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      14  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      15  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      16  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      17  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      18  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      19  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      20  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      21  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      22  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:15      23   99,01    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00

02:17:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:17:16     all   92,08    0,00    0,12    0,00    0,00    0,00    0,00    0,00    0,00    7,79
02:17:16       0    9,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   91,00
02:17:16       1    2,97    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   95,05
02:17:16       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16       3  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16       5  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16       6  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16       7  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16       8  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16       9  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      10  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      11  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      12  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      13  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      14  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      15  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      16  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      17  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      18  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      19  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      20  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      21   99,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      22  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:16      23  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00

02:17:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:17:17     all   91,67    0,00    0,12    0,04    0,00    0,00    0,00    0,00    0,00    8,17
02:17:17       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
02:17:17       1    2,00    0,00    1,00    1,00    0,00    0,00    0,00    0,00    0,00   96,00
02:17:17       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:17       3  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:17       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:17       5  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
02:17:17       6   99,01    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00
