Time,Port,Metric,Value
2026-05-12 22:00:40.000,1,obytes,0
2026-05-12 22:00:40.000,1,opackets,0
2026-05-12 22:00:40.000,1,rx_nombuf,0
2026-05-12 22:00:40.000,1,ierrors,0
2026-05-12 22:00:40.000,1,oerrors,0
2026-05-12 22:00:40.000,1,ibytes,0
2026-05-12 22:00:40.000,1,imissed,0
2026-05-12 22:00:40.000,1,ipackets,0
2026-05-12 22:00:40.000,0,obytes,0
2026-05-12 22:00:40.000,0,opackets,0
2026-05-12 22:00:40.000,0,rx_nombuf,0
2026-05-12 22:00:40.000,0,ierrors,0
2026-05-12 22:00:40.000,0,oerrors,0
2026-05-12 22:00:40.000,0,ibytes,0
2026-05-12 22:00:40.000,0,imissed,0
2026-05-12 22:00:40.000,0,ipackets,0
2026-05-12 22:00:40.000,n,Value,2
2026-05-12 22:00:41.000,1,obytes,0
2026-05-12 22:00:41.000,1,opackets,0
2026-05-12 22:00:41.000,1,rx_nombuf,0
2026-05-12 22:00:41.000,1,ierrors,0
2026-05-12 22:00:41.000,1,oerrors,0
2026-05-12 22:00:41.000,1,ibytes,261725673
2026-05-12 22:00:41.000,1,imissed,0
2026-05-12 22:00:41.000,1,ipackets,4362090
2026-05-12 22:00:41.000,0,obytes,0
2026-05-12 22:00:41.000,0,opackets,0
2026-05-12 22:00:41.000,0,rx_nombuf,0
2026-05-12 22:00:41.000,0,ierrors,0
2026-05-12 22:00:41.000,0,oerrors,0
2026-05-12 22:00:41.000,0,ibytes,0
2026-05-12 22:00:41.000,0,imissed,0
2026-05-12 22:00:41.000,0,ipackets,0
2026-05-12 22:00:41.000,n,Value,2
2026-05-12 22:00:42.000,1,obytes,0
2026-05-12 22:00:42.000,1,opackets,0
2026-05-12 22:00:42.000,1,rx_nombuf,0
2026-05-12 22:00:42.000,1,ierrors,0
2026-05-12 22:00:42.000,1,oerrors,0
2026-05-12 22:00:42.000,1,ibytes,1348145671
2026-05-12 22:00:42.000,1,imissed,16281
2026-05-12 22:00:42.000,1,ipackets,22452823
2026-05-12 22:00:42.000,0,obytes,0
2026-05-12 22:00:42.000,0,opackets,0
2026-05-12 22:00:42.000,0,rx_nombuf,0
2026-05-12 22:00:42.000,0,ierrors,0
2026-05-12 22:00:42.000,0,oerrors,0
2026-05-12 22:00:42.000,0,ibytes,0
2026-05-12 22:00:42.000,0,imissed,0
2026-05-12 22:00:42.000,0,ipackets,0
2026-05-12 22:00:42.000,n,Value,2
2026-05-12 22:00:43.000,1,obytes,0
2026-05-12 22:00:43.000,1,opackets,0
2026-05-12 22:00:43.000,1,rx_nombuf,0
2026-05-12 22:00:43.000,1,ierrors,0
2026-05-12 22:00:43.000,1,oerrors,0
2026-05-12 22:00:43.000,1,ibytes,2224611489
2026-05-12 22:00:43.000,1,imissed,16281
2026-05-12 22:00:43.000,1,ipackets,37060553
2026-05-12 22:00:43.000,0,obytes,1027322704
2026-05-12 22:00:43.000,0,opackets,17122076
2026-05-12 22:00:43.000,0,rx_nombuf,0
2026-05-12 22:00:43.000,0,ierrors,0
2026-05-12 22:00:43.000,0,oerrors,0
2026-05-12 22:00:43.000,0,ibytes,874
2026-05-12 22:00:43.000,0,imissed,0
2026-05-12 22:00:43.000,0,ipackets,4
2026-05-12 22:00:43.000,n,Value,2
2026-05-12 22:00:44.000,1,obytes,0
2026-05-12 22:00:44.000,1,opackets,0
2026-05-12 22:00:44.000,1,rx_nombuf,0
2026-05-12 22:00:44.000,1,ierrors,0
2026-05-12 22:00:44.000,1,oerrors,0
2026-05-12 22:00:44.000,1,ibytes,2831702289
2026-05-12 22:00:44.000,1,imissed,16281
2026-05-12 22:00:44.000,1,ipackets,47178733
2026-05-12 22:00:44.000,0,obytes,3258230980
2026-05-12 22:00:44.000,0,opackets,54303887
2026-05-12 22:00:44.000,0,rx_nombuf,0
2026-05-12 22:00:44.000,0,ierrors,0
2026-05-12 22:00:44.000,0,oerrors,0
2026-05-12 22:00:44.000,0,ibytes,934
2026-05-12 22:00:44.000,0,imissed,0
2026-05-12 22:00:44.000,0,ipackets,5
2026-05-12 22:00:44.000,n,Value,2
2026-05-12 22:00:45.000,1,obytes,0
2026-05-12 22:00:45.000,1,opackets,0
2026-05-12 22:00:45.000,1,rx_nombuf,0
2026-05-12 22:00:45.000,1,ierrors,0
2026-05-12 22:00:45.000,1,oerrors,0
2026-05-12 22:00:45.000,1,ibytes,3444846609
2026-05-12 22:00:45.000,1,imissed,16281
2026-05-12 22:00:45.000,1,ipackets,57397805
2026-05-12 22:00:45.000,0,obytes,5489800072
2026-05-12 22:00:45.000,0,opackets,91496702
2026-05-12 22:00:45.000,0,rx_nombuf,0
2026-05-12 22:00:45.000,0,ierrors,0
2026-05-12 22:00:45.000,0,oerrors,0
2026-05-12 22:00:45.000,0,ibytes,994
2026-05-12 22:00:45.000,0,imissed,0
2026-05-12 22:00:45.000,0,ipackets,6
