Time,Port,Metric,Value
2026-05-12 21:39:49.000,1,ipackets,0
2026-05-12 21:39:49.000,1,imissed,0
2026-05-12 21:39:49.000,1,opackets,0
2026-05-12 21:39:49.000,1,rx_nombuf,0
2026-05-12 21:39:49.000,1,ibytes,0
2026-05-12 21:39:49.000,1,ierrors,0
2026-05-12 21:39:49.000,1,obytes,0
2026-05-12 21:39:49.000,1,oerrors,0
2026-05-12 21:39:49.000,0,ipackets,0
2026-05-12 21:39:49.000,0,imissed,0
2026-05-12 21:39:49.000,0,opackets,0
2026-05-12 21:39:49.000,0,rx_nombuf,0
2026-05-12 21:39:49.000,0,ibytes,0
2026-05-12 21:39:49.000,0,ierrors,0
2026-05-12 21:39:49.000,0,obytes,0
2026-05-12 21:39:49.000,0,oerrors,0
2026-05-12 21:39:49.000,n,Value,2
2026-05-12 21:39:50.000,1,ipackets,4
2026-05-12 21:39:50.000,1,imissed,0
2026-05-12 21:39:50.000,1,opackets,0
2026-05-12 21:39:50.000,1,rx_nombuf,0
2026-05-12 21:39:50.000,1,ibytes,931
2026-05-12 21:39:50.000,1,ierrors,0
2026-05-12 21:39:50.000,1,obytes,0
2026-05-12 21:39:50.000,1,oerrors,0
2026-05-12 21:39:50.000,0,ipackets,4
2026-05-12 21:39:50.000,0,imissed,0
2026-05-12 21:39:50.000,0,opackets,7716566
2026-05-12 21:39:50.000,0,rx_nombuf,0
2026-05-12 21:39:50.000,0,ibytes,874
2026-05-12 21:39:50.000,0,ierrors,0
2026-05-12 21:39:50.000,0,obytes,462992040
2026-05-12 21:39:50.000,0,oerrors,0
2026-05-12 21:39:50.000,n,Value,2
2026-05-12 21:39:51.000,1,ipackets,5
2026-05-12 21:39:51.000,1,imissed,0
2026-05-12 21:39:51.000,1,opackets,0
2026-05-12 21:39:51.000,1,rx_nombuf,0
2026-05-12 21:39:51.000,1,ibytes,991
2026-05-12 21:39:51.000,1,ierrors,0
2026-05-12 21:39:51.000,1,obytes,0
2026-05-12 21:39:51.000,1,oerrors,0
2026-05-12 21:39:51.000,0,ipackets,5
2026-05-12 21:39:51.000,0,imissed,0
2026-05-12 21:39:51.000,0,opackets,44914365
2026-05-12 21:39:51.000,0,rx_nombuf,0
2026-05-12 21:39:51.000,0,ibytes,934
2026-05-12 21:39:51.000,0,ierrors,0
2026-05-12 21:39:51.000,0,obytes,2694859980
2026-05-12 21:39:51.000,0,oerrors,0
2026-05-12 21:39:51.000,n,Value,2
2026-05-12 21:39:52.000,1,ipackets,6
2026-05-12 21:39:52.000,1,imissed,0
2026-05-12 21:39:52.000,1,opackets,0
2026-05-12 21:39:52.000,1,rx_nombuf,0
2026-05-12 21:39:52.000,1,ibytes,1051
2026-05-12 21:39:52.000,1,ierrors,0
2026-05-12 21:39:52.000,1,obytes,0
2026-05-12 21:39:52.000,1,oerrors,0
2026-05-12 21:39:52.000,0,ipackets,6
2026-05-12 21:39:52.000,0,imissed,0
2026-05-12 21:39:52.000,0,opackets,82117778
2026-05-12 21:39:52.000,0,rx_nombuf,0
2026-05-12 21:39:52.000,0,ibytes,994
2026-05-12 21:39:52.000,0,ierrors,0
2026-05-12 21:39:52.000,0,obytes,4927064760
2026-05-12 21:39:52.000,0,oerrors,0
2026-05-12 21:39:52.000,n,Value,2
2026-05-12 21:39:53.000,1,ipackets,6
2026-05-12 21:39:53.000,1,imissed,0
2026-05-12 21:39:53.000,1,opackets,0
2026-05-12 21:39:53.000,1,rx_nombuf,0
2026-05-12 21:39:53.000,1,ibytes,1051
2026-05-12 21:39:53.000,1,ierrors,0
2026-05-12 21:39:53.000,1,obytes,0
