Linux 6.8.0-111-generic (testbed-node6) 	12/05/26 	_x86_64_	(24 CPU)

21:54:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:54:36     all    0,46    0,00    0,21    0,00    0,00   14,40    0,00    0,00    0,00   84,93
21:54:36       0    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
21:54:36       1    0,00    0,00    0,00    0,00    0,00   73,39    0,00    0,00    0,00   26,61
21:54:36       2    0,00    0,00    0,00    0,00    0,00   90,20    0,00    0,00    0,00    9,80
21:54:36       3    0,00    0,00    0,00    0,00    0,00   71,03    0,00    0,00    0,00   28,97
21:54:36       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:54:36       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:54:36       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:54:36       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:54:36       8    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
21:54:36       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:54:36      10    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
21:54:36      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:54:36      12    7,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
21:54:36      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:54:36      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:54:36      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:54:36      16    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
21:54:36      17    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
21:54:36      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:54:36      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:54:36      20    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
