Time,Port,Metric,Value
2026-05-13 02:30:38.000,1,ibytes,810
2026-05-13 02:30:38.000,1,imissed,0
2026-05-13 02:30:38.000,1,ierrors,0
2026-05-13 02:30:38.000,1,ipackets,3
2026-05-13 02:30:38.000,1,oerrors,0
2026-05-13 02:30:38.000,1,opackets,0
2026-05-13 02:30:38.000,1,obytes,0
2026-05-13 02:30:38.000,1,rx_nombuf,0
2026-05-13 02:30:38.000,0,ibytes,0
2026-05-13 02:30:38.000,0,imissed,0
2026-05-13 02:30:38.000,0,ierrors,0
2026-05-13 02:30:38.000,0,ipackets,0
2026-05-13 02:30:38.000,0,oerrors,0
2026-05-13 02:30:38.000,0,opackets,0
2026-05-13 02:30:38.000,0,obytes,0
2026-05-13 02:30:38.000,0,rx_nombuf,0
2026-05-13 02:30:38.000,n,Value,2
2026-05-13 02:30:39.000,1,ibytes,711180306
2026-05-13 02:30:39.000,1,imissed,0
2026-05-13 02:30:39.000,1,ierrors,0
2026-05-13 02:30:39.000,1,ipackets,11853001
2026-05-13 02:30:39.000,1,oerrors,0
2026-05-13 02:30:39.000,1,opackets,0
2026-05-13 02:30:39.000,1,obytes,0
2026-05-13 02:30:39.000,1,rx_nombuf,0
2026-05-13 02:30:39.000,0,ibytes,606
2026-05-13 02:30:39.000,0,imissed,0
2026-05-13 02:30:39.000,0,ierrors,0
2026-05-13 02:30:39.000,0,ipackets,2
2026-05-13 02:30:39.000,0,oerrors,0
2026-05-13 02:30:39.000,0,opackets,0
2026-05-13 02:30:39.000,0,obytes,0
2026-05-13 02:30:39.000,0,rx_nombuf,0
2026-05-13 02:30:39.000,n,Value,2
2026-05-13 02:30:40.000,1,ibytes,1531353322
2026-05-13 02:30:40.000,1,imissed,0
2026-05-13 02:30:40.000,1,ierrors,0
2026-05-13 02:30:40.000,1,ipackets,25522563
2026-05-13 02:30:40.000,1,oerrors,0
2026-05-13 02:30:40.000,1,opackets,0
2026-05-13 02:30:40.000,1,obytes,0
2026-05-13 02:30:40.000,1,rx_nombuf,0
2026-05-13 02:30:40.000,0,ibytes,606
2026-05-13 02:30:40.000,0,imissed,0
2026-05-13 02:30:40.000,0,ierrors,0
2026-05-13 02:30:40.000,0,ipackets,2
2026-05-13 02:30:40.000,0,oerrors,0
2026-05-13 02:30:40.000,0,opackets,0
2026-05-13 02:30:40.000,0,obytes,0
2026-05-13 02:30:40.000,0,rx_nombuf,0
2026-05-13 02:30:40.000,n,Value,2
2026-05-13 02:30:41.000,1,ibytes,2352107050
2026-05-13 02:30:41.000,1,imissed,0
2026-05-13 02:30:41.000,1,ierrors,0
2026-05-13 02:30:41.000,1,ipackets,39201795
2026-05-13 02:30:41.000,1,oerrors,0
2026-05-13 02:30:41.000,1,opackets,0
2026-05-13 02:30:41.000,1,obytes,0
2026-05-13 02:30:41.000,1,rx_nombuf,0
2026-05-13 02:30:41.000,0,ibytes,606
2026-05-13 02:30:41.000,0,imissed,0
2026-05-13 02:30:41.000,0,ierrors,0
2026-05-13 02:30:41.000,0,ipackets,2
2026-05-13 02:30:41.000,0,oerrors,0
2026-05-13 02:30:41.000,0,opackets,0
2026-05-13 02:30:41.000,0,obytes,0
2026-05-13 02:30:41.000,0,rx_nombuf,0
2026-05-13 02:30:41.000,n,Value,2
2026-05-13 02:30:42.000,1,ibytes,3168146730
2026-05-13 02:30:42.000,1,imissed,0
2026-05-13 02:30:42.000,1,ierrors,0
2026-05-13 02:30:42.000,1,ipackets,52802435
2026-05-13 02:30:42.000,1,oerrors,0
2026-05-13 02:30:42.000,1,opackets,0
2026-05-13 02:30:42.000,1,obytes,0
2026-05-13 02:30:42.000,1,rx_nombuf,0
2026-05-13 02:30:42.000,0,ibytes,606
2026-05-13 02:30:42.000,0,imissed,0
2026-05-13 02:30:42.000,0,ierrors,0
2026-05-13 02:30:42.000,0,ipackets,2
2026-05-13 02:30:42.000,0,oerrors,0
2026-05-13 02:30:42.000,0,opackets,0
2026-05-13 02:30:42.000,0,obytes,0
2026-05-13 02:30:42.000,0,rx_nombuf,0
2026-05-13 02:30:42.000,n,Value,2
2026-05-13 02:30:43.000,1,ibytes,3988175734
2026-05-13 02:30:43.000,1,imissed,0
2026-05-13 02:30:43.000,1,ierrors,0
2026-05-13 02:30:43.000,1,ipackets,66469616
2026-05-13 02:30:43.000,1,oerrors,0
2026-05-13 02:30:43.000,1,opackets,0
2026-05-13 02:30:43.000,1,obytes,0
2026-05-13 02:30:43.000,1,rx_nombuf,0
2026-05-13 02:30:43.000,0,ibytes,606
2026-05-13 02:30:43.000,0,imissed,0
2026-05-13 02:30:43.000,0,ierrors,0
2026-05-13 02:30:43.000,0,ipackets,2
2026-05-13 02:30:43.000,0,oerrors,0
2026-05-13 02:30:43.000,0,opackets,0
2026-05-13 02:30:43.000,0,obytes,0
2026-05-13 02:30:43.000,0,rx_nombuf,0
2026-05-13 02:30:43.000,n,Value,2
2026-05-13 02:30:44.000,1,ibytes,4808467994
2026-05-13 02:30:44.000,1,imissed,0
2026-05-13 02:30:44.000,1,ierrors,0
2026-05-13 02:30:44.000,1,ipackets,80141127
2026-05-13 02:30:44.000,1,oerrors,0
2026-05-13 02:30:44.000,1,opackets,0
2026-05-13 02:30:44.000,1,obytes,0
2026-05-13 02:30:44.000,1,rx_nombuf,0
