Time,Port,Metric,Value
2026-05-13 02:58:51.000,1,opackets,0
2026-05-13 02:58:51.000,1,imissed,0
2026-05-13 02:58:51.000,1,rx_nombuf,0
2026-05-13 02:58:51.000,1,oerrors,0
2026-05-13 02:58:51.000,1,ierrors,0
2026-05-13 02:58:51.000,1,obytes,0
2026-05-13 02:58:51.000,1,ipackets,1
2026-05-13 02:58:51.000,1,ibytes,272
2026-05-13 02:58:51.000,0,opackets,0
2026-05-13 02:58:51.000,0,imissed,0
2026-05-13 02:58:51.000,0,rx_nombuf,0
2026-05-13 02:58:51.000,0,oerrors,0
2026-05-13 02:58:51.000,0,ierrors,0
2026-05-13 02:58:51.000,0,obytes,0
2026-05-13 02:58:51.000,0,ipackets,0
2026-05-13 02:58:51.000,0,ibytes,0
2026-05-13 02:58:51.000,n,Value,2
2026-05-13 02:58:52.000,1,opackets,0
2026-05-13 02:58:52.000,1,imissed,0
2026-05-13 02:58:52.000,1,rx_nombuf,0
2026-05-13 02:58:52.000,1,oerrors,0
2026-05-13 02:58:52.000,1,ierrors,0
2026-05-13 02:58:52.000,1,obytes,0
2026-05-13 02:58:52.000,1,ipackets,11822439
2026-05-13 02:58:52.000,1,ibytes,709345451
2026-05-13 02:58:52.000,0,opackets,0
2026-05-13 02:58:52.000,0,imissed,0
2026-05-13 02:58:52.000,0,rx_nombuf,0
2026-05-13 02:58:52.000,0,oerrors,0
2026-05-13 02:58:52.000,0,ierrors,0
2026-05-13 02:58:52.000,0,obytes,0
2026-05-13 02:58:52.000,0,ipackets,3
2026-05-13 02:58:52.000,0,ibytes,814
2026-05-13 02:58:52.000,n,Value,2
2026-05-13 02:58:53.000,1,opackets,0
2026-05-13 02:58:53.000,1,imissed,0
2026-05-13 02:58:53.000,1,rx_nombuf,0
2026-05-13 02:58:53.000,1,oerrors,0
2026-05-13 02:58:53.000,1,ierrors,0
2026-05-13 02:58:53.000,1,obytes,0
2026-05-13 02:58:53.000,1,ipackets,24935748
2026-05-13 02:58:53.000,1,ibytes,1496145783
2026-05-13 02:58:53.000,0,opackets,0
2026-05-13 02:58:53.000,0,imissed,0
2026-05-13 02:58:53.000,0,rx_nombuf,0
2026-05-13 02:58:53.000,0,oerrors,0
2026-05-13 02:58:53.000,0,ierrors,0
2026-05-13 02:58:53.000,0,obytes,0
2026-05-13 02:58:53.000,0,ipackets,3
2026-05-13 02:58:53.000,0,ibytes,814
2026-05-13 02:58:53.000,n,Value,2
2026-05-13 02:58:54.000,1,opackets,0
2026-05-13 02:58:54.000,1,imissed,0
2026-05-13 02:58:54.000,1,rx_nombuf,0
2026-05-13 02:58:54.000,1,oerrors,0
2026-05-13 02:58:54.000,1,ierrors,0
2026-05-13 02:58:54.000,1,obytes,0
2026-05-13 02:58:54.000,1,ipackets,38033348
2026-05-13 02:58:54.000,1,ibytes,2282001783
2026-05-13 02:58:54.000,0,opackets,0
2026-05-13 02:58:54.000,0,imissed,0
2026-05-13 02:58:54.000,0,rx_nombuf,0
2026-05-13 02:58:54.000,0,oerrors,0
2026-05-13 02:58:54.000,0,ierrors,0
2026-05-13 02:58:54.000,0,obytes,0
2026-05-13 02:58:54.000,0,ipackets,3
2026-05-13 02:58:54.000,0,ibytes,814
2026-05-13 02:58:54.000,n,Value,2
2026-05-13 02:58:55.000,1,opackets,0
2026-05-13 02:58:55.000,1,imissed,0
2026-05-13 02:58:55.000,1,rx_nombuf,0
2026-05-13 02:58:55.000,1,oerrors,0
2026-05-13 02:58:55.000,1,ierrors,0
2026-05-13 02:58:55.000,1,obytes,0
2026-05-13 02:58:55.000,1,ipackets,51057249
2026-05-13 02:58:55.000,1,ibytes,3063433987
2026-05-13 02:58:55.000,0,opackets,0
2026-05-13 02:58:55.000,0,imissed,0
2026-05-13 02:58:55.000,0,rx_nombuf,0
2026-05-13 02:58:55.000,0,oerrors,0
2026-05-13 02:58:55.000,0,ierrors,0
2026-05-13 02:58:55.000,0,obytes,0
2026-05-13 02:58:55.000,0,ipackets,3
2026-05-13 02:58:55.000,0,ibytes,814
2026-05-13 02:58:55.000,n,Value,2
2026-05-13 02:58:56.000,1,opackets,0
2026-05-13 02:58:56.000,1,imissed,0
2026-05-13 02:58:56.000,1,rx_nombuf,0
2026-05-13 02:58:56.000,1,oerrors,0
2026-05-13 02:58:56.000,1,ierrors,0
2026-05-13 02:58:56.000,1,obytes,0
2026-05-13 02:58:56.000,1,ipackets,64168900
2026-05-13 02:58:56.000,1,ibytes,3850133303
2026-05-13 02:58:56.000,0,opackets,0
2026-05-13 02:58:56.000,0,imissed,0
2026-05-13 02:58:56.000,0,rx_nombuf,0
2026-05-13 02:58:56.000,0,oerrors,0
2026-05-13 02:58:56.000,0,ierrors,0
2026-05-13 02:58:56.000,0,obytes,0
2026-05-13 02:58:56.000,0,ipackets,3
2026-05-13 02:58:56.000,0,ibytes,814
2026-05-13 02:58:56.000,n,Value,2
2026-05-13 02:58:57.000,1,opackets,0
2026-05-13 02:58:57.000,1,imissed,0
2026-05-13 02:58:57.000,1,rx_nombuf,0
2026-05-13 02:58:57.000,1,oerrors,0
2026-05-13 02:58:57.000,1,ierrors,0
2026-05-13 02:58:57.000,1,obytes,0
2026-05-13 02:58:57.000,1,ipackets,77206244
2026-05-13 02:58:57.000,1,ibytes,4632373623
2026-05-13 02:58:57.000,0,opackets,0
2026-05-13 02:58:57.000,0,imissed,0
2026-05-13 02:58:57.000,0,rx_nombuf,0
2026-05-13 02:58:57.000,0,oerrors,0
2026-05-13 02:58:57.000,0,ierrors,0
2026-05-13 02:58:57.000,0,obytes,0
2026-05-13 02:58:57.000,0,ipackets,3
2026-05-13 02:58:57.000,0,ibytes,814
2026-05-13 02:58:57.000,n,Value,2
2026-05-13 02:58:58.000,1,opackets,0
2026-05-13 02:58:58.000,1,imissed,0
2026-05-13 02:58:58.000,1,rx_nombuf,0
2026-05-13 02:58:58.000,1,oerrors,0
2026-05-13 02:58:58.000,1,ierrors,0
2026-05-13 02:58:58.000,1,obytes,0
2026-05-13 02:58:58.000,1,ipackets,90279108
2026-05-13 02:58:58.000,1,ibytes,5416745335
2026-05-13 02:58:58.000,0,opackets,0
2026-05-13 02:58:58.000,0,imissed,0
2026-05-13 02:58:58.000,0,rx_nombuf,0
2026-05-13 02:58:58.000,0,oerrors,0
2026-05-13 02:58:58.000,0,ierrors,0
2026-05-13 02:58:58.000,0,obytes,0
2026-05-13 02:58:58.000,0,ipackets,3
2026-05-13 02:58:58.000,0,ibytes,814
2026-05-13 02:58:58.000,n,Value,2
2026-05-13 02:58:59.000,1,opackets,0
2026-05-13 02:58:59.000,1,imissed,0
2026-05-13 02:58:59.000,1,rx_nombuf,0
2026-05-13 02:58:59.000,1,oerrors,0
2026-05-13 02:58:59.000,1,ierrors,0
2026-05-13 02:58:59.000,1,obytes,0
2026-05-13 02:58:59.000,1,ipackets,103392516
2026-05-13 02:58:59.000,1,ibytes,6203551863
2026-05-13 02:58:59.000,0,opackets,0
2026-05-13 02:58:59.000,0,imissed,0
2026-05-13 02:58:59.000,0,rx_nombuf,0
2026-05-13 02:58:59.000,0,oerrors,0
2026-05-13 02:58:59.000,0,ierrors,0
2026-05-13 02:58:59.000,0,obytes,0
