Time,Port,Metric,Value
2026-05-12 21:33:42.000,0,ierrors,0
2026-05-12 21:33:42.000,0,rx_nombuf,0
2026-05-12 21:33:42.000,0,opackets,0
2026-05-12 21:33:42.000,0,ibytes,1596
2026-05-12 21:33:42.000,0,ipackets,7
2026-05-12 21:33:42.000,0,obytes,0
2026-05-12 21:33:42.000,0,imissed,0
2026-05-12 21:33:42.000,0,oerrors,0
2026-05-12 21:33:42.000,n,Value,1
2026-05-12 21:33:43.000,0,ierrors,0
2026-05-12 21:33:43.000,0,rx_nombuf,0
2026-05-12 21:33:43.000,0,opackets,32133252
2026-05-12 21:33:43.000,0,ibytes,1656
2026-05-12 21:33:43.000,0,ipackets,8
2026-05-12 21:33:43.000,0,obytes,1927993008
2026-05-12 21:33:43.000,0,imissed,0
2026-05-12 21:33:43.000,0,oerrors,87
2026-05-12 21:33:43.000,n,Value,1
2026-05-12 21:33:44.000,0,ierrors,0
2026-05-12 21:33:44.000,0,rx_nombuf,0
2026-05-12 21:33:44.000,0,opackets,69336438
2026-05-12 21:33:44.000,0,ibytes,1656
2026-05-12 21:33:44.000,0,ipackets,8
2026-05-12 21:33:44.000,0,obytes,4160183976
2026-05-12 21:33:44.000,0,imissed,0
2026-05-12 21:33:44.000,0,oerrors,187
2026-05-12 21:33:44.000,n,Value,1
2026-05-12 21:33:45.000,0,ierrors,0
2026-05-12 21:33:45.000,0,rx_nombuf,0
2026-05-12 21:33:45.000,0,opackets,106539632
2026-05-12 21:33:45.000,0,ibytes,1716
2026-05-12 21:33:45.000,0,ipackets,9
2026-05-12 21:33:45.000,0,obytes,6392375744
2026-05-12 21:33:45.000,0,imissed,0
2026-05-12 21:33:45.000,0,oerrors,287
2026-05-12 21:33:45.000,n,Value,1
2026-05-12 21:33:46.000,0,ierrors,0
2026-05-12 21:33:46.000,0,rx_nombuf,0
2026-05-12 21:33:46.000,0,opackets,143742831
2026-05-12 21:33:46.000,0,ibytes,2109
2026-05-12 21:33:46.000,0,ipackets,11
2026-05-12 21:33:46.000,0,obytes,8624567620
2026-05-12 21:33:46.000,0,imissed,0
2026-05-12 21:33:46.000,0,oerrors,387
2026-05-12 21:33:46.000,n,Value,1
2026-05-12 21:33:47.000,0,ierrors,0
2026-05-12 21:33:47.000,0,rx_nombuf,0
2026-05-12 21:33:47.000,0,opackets,180946043
2026-05-12 21:33:47.000,0,ibytes,2169
2026-05-12 21:33:47.000,0,ipackets,12
2026-05-12 21:33:47.000,0,obytes,10856760148
2026-05-12 21:33:47.000,0,imissed,0
2026-05-12 21:33:47.000,0,oerrors,487
2026-05-12 21:33:47.000,n,Value,1
2026-05-12 21:33:48.000,0,ierrors,0
2026-05-12 21:33:48.000,0,rx_nombuf,0
2026-05-12 21:33:48.000,0,opackets,218149232
2026-05-12 21:33:48.000,0,ibytes,2502
2026-05-12 21:33:48.000,0,ipackets,13
2026-05-12 21:33:48.000,0,obytes,13088951680
2026-05-12 21:33:48.000,0,imissed,0
2026-05-12 21:33:48.000,0,oerrors,587
2026-05-12 21:33:48.000,n,Value,1
2026-05-12 21:33:49.000,0,ierrors,0
2026-05-12 21:33:49.000,0,rx_nombuf,0
2026-05-12 21:33:49.000,0,opackets,255352433
2026-05-12 21:33:49.000,0,ibytes,2502
2026-05-12 21:33:49.000,0,ipackets,13
2026-05-12 21:33:49.000,0,obytes,15321143804
2026-05-12 21:33:49.000,0,imissed,0
2026-05-12 21:33:49.000,0,oerrors,687
2026-05-12 21:33:49.000,n,Value,1
2026-05-12 21:33:50.000,0,ierrors,0
2026-05-12 21:33:50.000,0,rx_nombuf,0
2026-05-12 21:33:50.000,0,opackets,292555633
2026-05-12 21:33:50.000,0,ibytes,2502
2026-05-12 21:33:50.000,0,ipackets,13
2026-05-12 21:33:50.000,0,obytes,17553335740
2026-05-12 21:33:50.000,0,imissed,0
2026-05-12 21:33:50.000,0,oerrors,787
2026-05-12 21:33:50.000,n,Value,1
2026-05-12 21:33:51.000,0,ierrors,0
2026-05-12 21:33:51.000,0,rx_nombuf,0
2026-05-12 21:33:51.000,0,opackets,329758837
2026-05-12 21:33:51.000,0,ibytes,2502
2026-05-12 21:33:51.000,0,ipackets,13
2026-05-12 21:33:51.000,0,obytes,19785528044
2026-05-12 21:33:51.000,0,imissed,0
2026-05-12 21:33:51.000,0,oerrors,887
2026-05-12 21:33:51.000,n,Value,1
2026-05-12 21:33:52.000,0,ierrors,0
2026-05-12 21:33:52.000,0,rx_nombuf,0
2026-05-12 21:33:52.000,0,opackets,366962033
2026-05-12 21:33:52.000,0,ibytes,2502
2026-05-12 21:33:52.000,0,ipackets,13
2026-05-12 21:33:52.000,0,obytes,22017719804
2026-05-12 21:33:52.000,0,imissed,0
2026-05-12 21:33:52.000,0,oerrors,987
2026-05-12 21:33:52.000,n,Value,1
2026-05-12 21:33:53.000,0,ierrors,0
2026-05-12 21:33:53.000,0,rx_nombuf,0
2026-05-12 21:33:53.000,0,opackets,404165239
2026-05-12 21:33:53.000,0,ibytes,2502
2026-05-12 21:33:53.000,0,ipackets,13
2026-05-12 21:33:53.000,0,obytes,24249912228
2026-05-12 21:33:53.000,0,imissed,0
2026-05-12 21:33:53.000,0,oerrors,1087
2026-05-12 21:33:53.000,n,Value,1
2026-05-12 21:33:54.000,0,ierrors,0
2026-05-12 21:33:54.000,0,rx_nombuf,0
2026-05-12 21:33:54.000,0,opackets,441365328
2026-05-12 21:33:54.000,0,ibytes,2835
2026-05-12 21:33:54.000,0,ipackets,14
2026-05-12 21:33:54.000,0,obytes,26481917568
2026-05-12 21:33:54.000,0,imissed,0
2026-05-12 21:33:54.000,0,oerrors,1187
2026-05-12 21:33:54.000,n,Value,1
2026-05-12 21:33:55.000,0,ierrors,0
2026-05-12 21:33:55.000,0,rx_nombuf,0
2026-05-12 21:33:55.000,0,opackets,478564866
2026-05-12 21:33:55.000,0,ibytes,2895
2026-05-12 21:33:55.000,0,ipackets,15
2026-05-12 21:33:55.000,0,obytes,28713889784
2026-05-12 21:33:55.000,0,imissed,0
2026-05-12 21:33:55.000,0,oerrors,1287
2026-05-12 21:33:55.000,n,Value,1
2026-05-12 21:33:56.000,0,ierrors,0
2026-05-12 21:33:56.000,0,rx_nombuf,0
2026-05-12 21:33:56.000,0,opackets,515768033
2026-05-12 21:33:56.000,0,ibytes,2955
2026-05-12 21:33:56.000,0,ipackets,16
2026-05-12 21:33:56.000,0,obytes,30946079804
2026-05-12 21:33:56.000,0,imissed,0
2026-05-12 21:33:56.000,0,oerrors,1387
2026-05-12 21:33:56.000,n,Value,1
2026-05-12 21:33:57.000,0,ierrors,0
2026-05-12 21:33:57.000,0,rx_nombuf,0
2026-05-12 21:33:57.000,0,opackets,552963405
2026-05-12 21:33:57.000,0,ibytes,3015
2026-05-12 21:33:57.000,0,ipackets,17
2026-05-12 21:33:57.000,0,obytes,33177802188
2026-05-12 21:33:57.000,0,imissed,0
2026-05-12 21:33:57.000,0,oerrors,1487
2026-05-12 21:33:57.000,n,Value,1
2026-05-12 21:33:58.000,0,ierrors,0
2026-05-12 21:33:58.000,0,rx_nombuf,0
2026-05-12 21:33:58.000,0,opackets,590166601
2026-05-12 21:33:58.000,0,ibytes,3075
2026-05-12 21:33:58.000,0,ipackets,18
2026-05-12 21:33:58.000,0,obytes,35409993884
2026-05-12 21:33:58.000,0,imissed,0
2026-05-12 21:33:58.000,0,oerrors,1587
2026-05-12 21:33:58.000,n,Value,1
2026-05-12 21:33:59.000,0,ierrors,0
2026-05-12 21:33:59.000,0,rx_nombuf,0
2026-05-12 21:33:59.000,0,opackets,627369028
2026-05-12 21:33:59.000,0,ibytes,3135
2026-05-12 21:33:59.000,0,ipackets,19
2026-05-12 21:33:59.000,0,obytes,37642139440
2026-05-12 21:33:59.000,0,imissed,0
2026-05-12 21:33:59.000,0,oerrors,1687
2026-05-12 21:33:59.000,n,Value,1
2026-05-12 21:34:00.000,0,ierrors,0
2026-05-12 21:34:00.000,0,rx_nombuf,0
2026-05-12 21:34:00.000,0,opackets,664572229
2026-05-12 21:34:00.000,0,ibytes,3195
